NPC Name:|Endless||||
ID|English|French|German|Spanish|Italian
p1|Goodbye.||||
p0|Farewell.||||
pq1|Can I ask you some questions?||||
pq2|Okay, I think I get it.||||
pq3|Got it.||||
pq4|Actually, I had other questions.||||
pq5|That's all I wanted to know.||||
pVela|What do you know about Vela Callose?||||
door1|<<The enchanted mask is deathly still, but its stoic eyes track you as you approach.>> ##The [[Erudite Academy]] is closed to all but a chosen few. Present your recommendation, or leave.||||
p6|Here's my recommendation. ||||
door2|<<The mask is silent for a long while. Just as you are about to say something, it responds.>> ##Recommendation accepted. You may enter.||||
p7|How do I get a recommendation?||||
door3|This cipher-spell cannot answer questions. Please direct enquiries, in a written letter, to the Erudite Academy Administration Facility in Riova. Average response time is currently... ##<<A pause.>> Seven years, three months and two days. ||||
p8|Never mind.||||
explorer1|<<The scholar seems to be absorbed with their looking glass. They peer through, scribble something in their notebook, then peer again. They do not look at you.>> ##A traveller, hm? Apologies - I'm on Academy business, and this map won't make itself...||||
explorer2|<<The scholar seems engrossed in their studies.>> ##Ah, you're the fledgling cartographer, correct? Not ((lost)), I hope? ||||
p10|Can I get a copy of your map?||||
explorer3|Look, I don't have time to pander to your every want. The Chief Cartographer needs this urgently... ##<<They turn to look at you, then pause - as if realising something.>>||||
explorer4|Actually, you know what? Maybe you ((can)) have a copy. As long as you're willing to work for it.||||
p11|I can do that. What do you need?||||
explorer5|We're making a new kind of map. A magical map that tracks the shifting movements of these islands and... ((corrects)) itself.||||
explorer6|The real work is with this cipher spell we're weaving together. But I need someone to go out and anchor the spell to specific landmarks.||||
explorer7|Take this [[Cartography Notebook]]. When you get to a landmark, [[equip it]], and [[use]] it to make a cipher chart. The map will show up in your journal.##((If you obtain a ))[[compass]]((, you'll be able to see yourself on the map too.))||||
p12|About these cipher-charts I'm making...||||
explorer8|When you get to a landmark, [[equip]] your cartography notebook, and [[use]] it to make a cipher chart. The map will show up in your journal.##((If you obtain a ))[[compass]]((, you'll be able to see yourself on the map too.))||||
explorer9|There are four scholars working on this map, including myself. Together we cover [[Hallowshire]], the [[Endless Realm]], the [[Clockwork Kingdom]] and [[Pwyll]]. You should also visit my colleagues, to see what landmarks they need.||||
p13|So, what landmarks do you need for this region?||||
explorer10|Hallowshire is a large place. In the centre, we'll need the [[Hallow clocktower]] in the middle of town. Then, to the east, we'll want [[the biggest farmstead]].||||
explorer11|Next, there's a [[ruin entwined with a tree]] to the west. And finally, to the south, find the point at which the [[river splits in two]]. ||||
p14|So, is there any reward?||||
explorer12|Well, you'll get access to the [[map]] itself. But I suppose we can throw in a few coins with each cipher-chart, too.||||
explorer13|And if you manage to map the [[Hallowshire region]], I'd consider giving you [[a recommendation]] to the [[Erudite Academy]]. Can you see it, flying up there in the sky? Being allowed access is a real privilege, believe me. ||||
p15|Okay, got it.||||
explorer14|You're sure? Very well.||||
p16|Actually, I'll pass.||||
explorer15|Suit yourself.||||
p17|I have cipher-charts to hand in.||||
explorer16|Excellent. Yes, these will do nicely. The detail here is impressive, for one of your... limited experience. ##Please, take this in recompense. ||||
explorer16b|Ah, most impressive. You're turning out to be quite the asset to this endeavour. ##Please, take this in recompense. ||||
explorer16c|More perfect charts. I'd expect nothing less from one of your skills. I don't know what we'd do without you. ||||
explorer17|It seems that you've accrued quite the collection of cipher-charts, doesn't it? I must admit, I'm impressed. ##Take this; it's a [[letter of recommendation]] that will grant you entry to the [[Erudite Academy]]. ||||
