|||||
ID|English|French|German|Spanish|Italian
p0|Farewell.||||
pq1|Can I ask you some questions?||||
pq2|Okay, I think I get it.||||
pq3|Got it.||||
pq4|Actually, I had other questions.||||
pq5|That's all I wanted to know.||||
pq6|I'm looking for someone.||||
pq7|Have you heard of the Emberian?||||
pq8|What do you know of Vela Calose? ||||
pq9|Thanks for your help. ||||
mentor1|Ah, the [[Blinding Light.]] I remember when we captured this place from its Union ((caretakers.)) ##<<He smirks.>> Back when we thought we could get away with ((anything.))||||
mentor2|Was there summin' else?||||
mentor3|<<The man drums his fingers on the table as his eyes dart around. He does not look at you as he speaks.>>||||
mentor4|B'gone with you. I'm waiting for someone.||||
p1|That person is me. I'm with the Inquisition. ||||
p2|You're Vela's Quartermaster? I've been looking for you.||||
p3|I'll be going, then. ||||
mentor5|<<His eyes snap towards you.>> Hmm. So ((you're)) the agent? Must admit, I expected someone a little more... <<He spits.>> ((Inquisitorial.))||||
p4|Looks can be deceiving. ||||
mentor6|<<He squints.>> Squidshit. I can see the marks on your wrists from the shackles. You're a ((Confessor)), aren't you? Little more than a prisoner.||||
p5|I'm a Confessor. More of a ((prisoner)) than an agent.||||
mentor7|<<He laughs, but his eyes stay on you.>> ##Ah, so you're with the ((Confessor Division.)) That explains it.||||
p6|I could say the same to you, old man. ||||
mentor8|<<A thin smile betrays itself.>> It's true, these old bones ache. But at least I'm a ((free man,)) eh? I can see the shackle marks on your wrists - you're not an agent. You're a ((Confessor)).||||
mentor9|Those bastards - they mean to ((insult)) me, by sending one of their ((expendable rabble)). They've hunted me for years, and now they don't even deign to send an agent. ##<<He looks around.>> At least, not to my face.||||
mentor10|<<He hisses, teeth gritted.>> So, out with it, Confessor. Has she found it yet? Is it... ((alive?))||||
p7|Has ((who)) found it?||||
mentor11|((Vela)), you inebriated ((fool!)) Who else would I be speaking of?||||
p8|What are you talking about?||||
mentor12|<<For a moment, he simply stares at you, brow furrowed.>>||||
mentor13|Ach, they really haven't told you ((anything)), have they? I may as well be speaking to a silkslug. ##Do you at least know where Vela ((is))?||||
p9|She escaped on a sloop. ||||
mentor14|<<He nods.>> Sounds about right. ||||
p10|I tried to apprehend her, but... I failed.||||
mentor15|Well of ((course)) you failed. Vela Calose, fearsome leader of the Dark Star mercenaries, against... ((you.)) Not much of a contest, eh? ||||
mentor16|She'll have gone to the [[underlands]], to rendezvous with any Dark Stars that are still loyal. ##<<He gazes out the windowpane.>> Of course, the question is ((where)). The underlands are far larger than the skyrealms; she could be anywhere...||||
p11|What are the underlands?||||
mentor17|<<He frowns at you.>> Surely, you jest. What are the ((underlands?)) Will you ask me about the neuron stars, next?||||
p12|No really, what are the underlands?||||
mentor18|<<His frown deepens.>> They are the lands. That are ((under.)) The skyrealms. Did they extract your mind with a hook, in that cell?||||
mentor19|<<Seeing your blank expression, he sighs.>> When the world was destroyed in the World Rend - over four hundred years ago, now - its surface was turned into an inhospitable hellscape. ((Those)) lands are the underlands.||||
p13|Uh, what's a neuron star? ||||
mentor20|So the Inquisition seek to mock me by sending an imbecile, is that right? Well, I won't lower myself to your foolishness. ||||
p14|Yes, a... fine jest. Let's move on. ||||
mentor21|<<He nods, still frowning.>>||||
p15|How do you know Vela's gone there?||||
mentor22|She hunts something there - she has done, for years. Something... of terrible power. ||||
mentor23|I can't tell you ((exactly)) what it is. Only that she plans to use it to meddle with ((reality itself)), which could be the doom of us all. ||||
p16|So, you'll help me find Vela? ||||
mentor24|That's the deal that I've struck with your ((Inquisition)), isn't it? Hunt my former comrade - and my Dark Star crewmates - for the Polymath's Pardon. After this, I'll be a traitor to ((everyone)). ||||
mentor25|<<He sighs, leaning back.>> Well then, Confessor. We may as well get to know each other. What did you... <<He waves his hand around. >> ((do)), before rotting in a cell?||||
p17|I was a soldier.||||
mentor26|Hmph, a regular grunt of the battlefield, eh? No doubt you've seen your fair share of spilled blood, all in the service of some foppish Union lord.||||
p18|I was a mercenary.||||
mentor27|Ah, a cutthroat after my own heart. The nobles in Riova can preach their drivel of ((honour)) and ((unity)), but we both know that in the end, it's the coin in one's purse that gets you through.||||
p19|I was an inquisitor.||||
mentor28|<<He squints at you.>> So you really ((were)) an agent, eh? Hah! Betrayed and brought low by your masters. Tell me: did you savour, in that damp cell, the ((irony)) of your entrapment?||||
p20|I was an assassin.||||
mentor29|<<He squints at you.>> So you're one to keep an eye on, eh? I'll admit, even when we've been forced to use your kind, I've had no love for ((that)) profession. To kill a man while he sleeps - there's no decency in that. ||||
p21|I was hired muscle.||||
mentor30|I see. Probably running drugs and potions for the cartels, correct? Or cracking some skulls when money's due? Not that I can judge; we had plenty of contacts in your line of work. ||||
p22|I was a thief.||||
mentor31|Not an easy life, eh? Of course, we hear tales of those who lift treasures with ease and disappear into the night - but more often it's broken teeth and a month in the cells, correct? Yes, you know that all too well, I can see. ||||
p23|I was a lore broker.||||
mentor32|A keeper of secrets? Interesting. When work was scarce, we'd often go plundering ancient and dark places -and we'd always be sure to bring one of ((your kind)) along.||||
p24|I was a fixer.||||
mentor33|Knowledge is ((power)), indeed. You're a good person to know, that's for sure. There's been many a time when a whisper here, or a tip-off there, has been more useful than a galleon full of cannons. ||||
p25|I was an adventurer. ||||
mentor34|Ah, a free spirit - how ((delightful.)) It must be nice to set off alone, going where the wind takes you, eh? Of course, I've known plenty who've done just that, and ended up clutching their spilled guts in a ditch somewhere. I reckon you should count yourself lucky.||||
p26|I was an aetherist.||||
mentor35|A scholar of the cosmos? I must admit, your kind has always fascinated me. That someone would strap together a bunch of wood, weave it with a spell, and let it carry them into the endless void? What bravado! What ((stupidity!))||||
p27|I was a scholar.||||
mentor36|Ah, happier behind a desk than wielding a sword, are you? There's no shame in that. And I suppose those books are quite heavy; if you find yourself in a scrape, you can always bludgeon someone to death with one, no?||||
p28|I was a politician.||||
mentor37|I must say, I've no love for those who hide behind petty arguments and legal nonsense. I've been to Riova more times than I care for, and each time I'd rather have been in a den of drunken brigands. ||||
p29|I was a battle-councillor.||||
mentor38|Ah, so you fought in election campaigns? More gruelling than any of the military sort, I'd wager. Saw one in Byonne, once; the losing party was cut into bloody pieces. All they wanted was better tax levies. ||||
p30|I was a noble, then... a thief.||||
mentor39|Ah, fell on hard times, did we? Privilege can crumble into poverty without a moment's notice. At least you had the wits to make the best of it. ||||
p31|I was an occultist.||||
