NPC Name:|Endless||||
ID|English|French|German|Spanish|Italian
p1|Goodbye.||||
p0|Farewell.||||
pq1|Can I ask you some questions?||||
pq2|Okay, I think I get it.||||
pq3|Got it.||||
pq4|Actually, I had other questions.||||
pq5|That's all I wanted to know.||||
chi0|<<The woman who approaches you is half-rotted. One eye is milk-white, and the other is missing. The pearly white of her jawbone is visible through ragged skin.>>||||
chi1|Careful there, breather. That was a big one. You hurt?||||
p14|What was that?||||
chi2|A little tremor, that's all. They've been getting more common recently.||||
p2|I'm fine.||||
chi3|Good to hear.||||
p3|Just a little shaken, that's all.||||
chi4|Hahaha! Good one, breather.||||
chi5|You should watch your step, though - that quake will have riled up the catacomb wyrms something fierce.||||
p5|Catacomb wyrms?||||
chi6|Nasty buggers. They burrow, they fly, they eat people. Just stay away from them, that's my advice.||||
p6a|You appear to be... a bit worse for wear.||||
p6|What's wrong with your face?||||
chi7|I'm sure you've heard stories about the Endless, breather. Immortality comes at a price.||||
p7|Do you know what's causing these tremors?||||
chi8|Folks are saying it's the Entombed One, who's imprisoned below the Castle of Ribs. They say he's waking up. But people say a lot of things, and you'd go mad if you took it all seriously.||||
chi9|Anyways, you're clearly new here, and I've got some time to kill. Is there anything you wanna know?||||
chi10|Hello again, breather.||||
p10|Who is the Entombed One?||||
chi11|No idea. He's been shaking the island for centuries, but recently, it's been happening more and more often. I've heard that if he keeps it up, the entire island could be shook to pieces.||||
p11|What is the Castle of Ribs?||||
chi12|The palace where our Queen resides. If you keep heading west, you can't miss it.||||
p12|Tell me about the Queen.||||
chi13|Her full title is the Queen of Silver. She's a bit of a recluse. She's ruled over the Endless for three centuries, and for the last two she's never made an appearance in public.||||
p13|Who are you?||||
p13a|Who are you, again?||||
chi14|My name's Chiasma. I'm just out here waiting to be granted admission to one of the Mausoleums.||||
chi14a|Told you before, breather - I'm Chiasma. I'm just out here waiting to be granted admission to one of the Mausoleums.||||
p15|What are the Mausoleums?||||
chi15|See those big imposing tombs in the distance? Most of the Endless live in those Mausoleums, these days. They're waiting for the Ferryman to come and take them away.||||
p16|Why aren't you in a Mausoleum?||||
chi16|They're overcrowded and the best tombs go to the highest bidder. So poor broke saps like me have to wait until a place becomes available. Usually after a Wyrm attack.||||
p17|See you later, Chiasma.||||
chi17|Good luck, breather. Watch your step out there.||||
p18|Have you ever seen a talking crow in the kingdom?||||
chi18|Can't say that I have. It sounds like some kind of magic. If I were you, I'd go speak to Penitent Thaw - she knows everything there is to know about that kind of stuff.||||
p19|Who is Penitent Thaw?||||
chi19|A mage who lives in the sanctum overlooking the flesh-farm. You can see it up on that ridge, to the north. She's the youngest of the Endless. Only two centuries old - practically a whippersnapper.||||
p20|Are you loyal to the Hooded King?||||
chi20|Wow, what a question... No, I'm not loyal to a monarch who's been dead for three centuries. Obviously.||||
chi21|Sure, breather. You wanna ask anything else?||||
chi21a|Anythin' else you wanna know about this place?||||
p21|Can you tell me about this place?||||
chi22|Well, you're entering the lands of the Endless. Our island of tombs has been drifting around the skyrealms since before the World Rend; even before even those damned Emberians... ((ferryman rest their souls)), eheh.||||
chi23|You'll find the town of Sepulchre up ahead. But careful on your feet, breather - there's been a whole bunch of tremors, lately.||||
p22|What's in Sepulchre?||||
chi24|Honestly? Not much. Most of us Endless live in the mausoleums. But you can rent a room in the Rotten Coffin, and there's places to trade.||||
chi25|Looming over Sepulchre is the Castle of Ribs, where the Queen resides. And just past town is the flesh-farm.||||
