NPC Name:|EndlessMines||||
ID|English|French|German|Spanish|Italian
lord1|I must say, lordship can be quite a curse!||||
lord2|I own the deed to the [[mines]] in the Southwest. Between you and I, it's worth a fortune.##But a few months ago it simply ceased to produce! As if out of thin air!||||
lordp1|I'm so sorry to hear that.||||
lordp1alt|I've been to those mines recently.||||
lordp2|I've no interest in your bourgeois concerns.||||
lord3alt|Ah, you're familiar, then? Splendid!||||
lord3|Now, I sent a [[couple servants]] down to the mines see what the matter is.##As you'd expect, they both split on me; Took their pay and disappeared!||||
lord4|Every day that my [[mines]] aren't operating, I'm losing gold!##What a mess!||||
lordp3|Tell me more about the [[mines]].||||
lordp4|Tell me about yourself.||||
lordself|Ah, forgive me. I am [[Romulous Chairon VII]], lord and heir to the [[Southwestern Tract]].##The lands I own are rich in resources. The finest in the world. I employ merchants who sell them for me. Even the crown buys my ores.||||
lordp5|I've been to the mines; here's what I've seen.||||
lordp6|I must be off.||||
lord5|My mines are to the Southwest.##The ores are a valuable export. Fine orestones fetch a devilish price in the [[Clockwork Kingdom]].||||
lord6|I've likely owned my mines since before you were born! Though I don't involve myself much in its going-ons. There are people beneath me who were handling those trivialities on-site.##Breather, perhaps you could look into it for me?||||
lord7|Ah, would you be so kind? It would mean the world to me.||||
lordp8|I'd be happy to help.||||
lordp9|@@For a fee, of course!||||
lord8fail|&&<<He scowls>>##You'll be paid on delivery.||||
lord8succ|%%<<He scowls>>##I'm afraid 20 gold is all I'll offer, I'm rather tight at the moment...||||
lord9|Marvelous! I had a feeling about you as soon as we spoke.||||
lord10|The mines are on the Southwestern edge of the region.##The elevator is likely out of operation, but you can make your way down by a series of bridges.||||
lord11|Return when you've solved this fiasco, and I'll produce a suitable reward. You have my word, breather!||||
lord12|<<After hearing half of your story, he interrupts you.>>##You're just complicating things, believing all their commotion about crystals. The truth is simple: those greedy miners have stolen my mines!||||
lord13|Breather! Go back and tell them at once! These mines belong to me!##You'll be rewarded handsomely, on my honor!||||
lord14|My friend, I've been waiting for your return! I've been informed of your success already.##A promise is a promise; here is your reward.||||
lord14alt|So you're the one who liberated my mines! An honor to meet you.##I've prepared a reward for you.||||
lordp10|Thank you, my lord.||||
