NPC Name:|Endings||||||||||||
ID|English|French|German|Spanish|Italian||||||||
banished1|In a searing flash of light, the angel is torn from existence. For a moment you see it tumbling into the fractal madness of the void, just before the rip in reality snaps shut.||||||||||||
banished2|The Cradle lurches around you. Without its power source, it has begun to plummet back to the Underlands.||||||||||||
banished3|It is only thanks to the nimble piloting of Jack Basalt that you are rescued from the wreckage. You watch its metal carcass fall below the clouds, taking what remains of Vela and her former comrades with it. ||||||||||||
banished4|It is only thanks to the nimble piloting of Jack Basalt that you are rescued from the wreckage. Ignoring her frantic protests, you shove Vela on the craft as well - and the three of you watch the Cradle fall below the clouds.  ||||||||||||
banished5|You are silent on the journey back, thinking only of Orlaith, the Duchess and Caxton Frost, for whom the Cradle will forever be a tomb. ||||||||||||
banishedOrder1|In the years that follow, you rise through the ranks of the Inquisition, spreading fear wherever your boots tread. ||||||||||||
banishedOrder2|Your name soon gains a fearsome reputation, whispered with trepidation and reverence across the Apostatic Union.||||||||||||
banishedLiberty1|With your penitence fulfilled, you are released from the Inquisition. Your subsequent clashes with authority see you falling in with the very mercenaries you once fought - the Dark Stars.||||||||||||
banishedLiberty2|It is not long before you gain respect, infamy and even command, just like Vela before you. ##Some call you a tyrant; others, a liberator. But one thing is certain: that all over the skyrealms your name is known.||||||||||||
banishedSelf1|With your penitence fulfilled, you are released from the Inquisition. Free at last, you set off alone, caring not where the wind takes you.||||||||||||
banishedSelf2|In the years that follow, tales are told around the Skyrealms of a lone wanderer whose very presence seems to put strange events in motion.||||||||||||
banished6|Jack Basalt retires from mercenary work and spends the rest of his days drifting from tavern to tavern, drunkenly rambling of his bygone exploits.||||||||||||
banished7|With time, the names of his former comrades are forgotten, and he is regarded as just another old fool. ||||||||||||
banished8|Frost never marries his lover, Sammol. He remains a traitor in the eyes of his homeland.||||||||||||
banished9|The Duchess, shredded and scattered to the winds, finds a strange new peace as a fractured witness to the secret life of the Underlands.||||||||||||
banished10|The Emberian's armour lies, unrusting, at the base of the world, while her flesh returns to the soil.||||||||||||
banished11|Their sacrifice is recorded on the jet-black memorial obelisk that stands in the gardens of the Citadel of Doubt in Riova.||||||||||||
