NPC Name:|Paeguth||||
ID|English|French|German|Spanish|Italian
poly1|<<She does not look up from her papers.>> Ah, another loyal subject of the Apostatic Union. ## I must remind you that impromptu meetings such as these may not exceed ten ticks of the clock. ||||
poly2|Are you here to serve the Union? Or is this another matter of ... <<she sighs>> livestock dispute...?||||
polyp1|I'm here for work. ||||
polyp2|Tell me about the job, again.||||
polyp3|I wanted to ask some questions.||||
polyp4|Actually, I think I'm in the wrong room. Goodbye.||||
polyp5|I want to serve the Apostatic Union.||||
poly3|<<Still looking at her papers, she answers with monotone weariness.>> ##Ah, yes... questions. It is, of course, my pleasure to oblige... <<She checks a pocket watch>> for no more than eight ticks.||||
polyp6|Who are you?||||
poly4|<<She closes her eyes and rubs her temples.>> ##Seeing as we are having this conversation, I ((assume)) you know I am Hallowshire's polymath. I am its appointed representative in Riova and I ensure Union law is upheld.||||
poly5|Hallowshire was practically lawless before my council contested the region five years ago. But we won the election with minimal casualties, and I am proud to say things are much improved. ||||
polyp7|Minimal casualties?||||
poly6|You are aware of election rules, yes? Election candidates and their subordinate councils must compete in two stages; a battle and a debate.||||
poly7|Well, in the last Hallow election, the opposing cultist rabble were no match for our battle-councillors. So many fell to our swords in the staged battle that, when it came to the debate, few of those left could even string a sentence together.||||
poly8|<<She betrays a smile>>. They were hardly capable of matching our philosophical rhetoric, let me tell you that. ||||
polyp8|Okay, I get it. ||||
poly9|So, was that the end to your... questions?||||
polyp9|What is the Apostatic Union?||||
poly10|<<Her brow contorts.>> ##I see that our policies towards educating the common folk have resulted in... mixed success.||||
poly11|To be apostatic is to reject one's religion. Forty years ago, the realms of Vena, Byonne, Lundel and Slev emerged victorious from the God War, having rejected the Wikkans and their gods.||||
poly12|Those nations established the Apostatic Union; wherein its subjects are free from the tyranny of god worship.||||
polyp10|What's so bad about god worship? ||||
poly13|After the world rend, humans became dependent on gods once more. But it is a cruel arrangement. Gods have their own agendas, and never bestow favours without a sacrifice in kind.||||
poly14|Furthermore, the Wikkan covens had a monopoly on worship and spellcraft. God contracts had to be struck through them. Spells were approved by them. They were as corrupt as they were powerful.||||
poly15|The polymaths at the great universities realised that humanity would never achieve its former glory chaining itself to gods. And so they gathered powerful allies and broke their fetid chains.||||
polyp11|Who are the Wikkans?||||
poly16|The Wikkans are occultists and spellcasters. Unlike the spells created at Union universities - which rely on the true language - the Wikkans strike binding contracts with gods to achieve power.||||
polyp12|That's all, actually.||||
poly20|<<She looks at you, finally.>> Ah, a willing subject of the realm. Excellent. ##We are hunting a god, and we need all the help we can get.||||
poly21|As you no doubt know, Hallowshire is beset with famine. The crops yields are poor, which aggravates a much greater problem; god worship.||||
poly22|In their panic, the populace have resorted to illegal prayer. Cultism is rife. The situation is so dire that an inquisition division has been dispatched. Their scryers say that we're dealing with... <<she inhales.>> A class-B god entity. ||||
poly23|The investigation is focused on the farmlands outside of Hallow, but the inquisition impose Apostatic Law with a heavy hand. Many god sympathisers have already been put to the gallows, stoking anger. So I am turning to the populace for support. Even the most lowly of subjects could help uproot this problem.||||
poly24|I have but one question: where is this god?||||
poly25|Any assistance will - of course - be rewarded in coin.||||
polyp13|Where should I look?||||
poly26|The inquisition is making its way through the countryside, searching farmsteads for god sympathisers and hidden covens. I would ask around there, and search for anything the inquisition has missed.||||
