cae|||||
ID|English|French|German|Spanish|Italian
p1|Goodbye.||||
p0|Farewell.||||
pq1|Can I ask you some questions?||||
pq2|Okay, I think I get it.||||
pq3|Got it.||||
pq4|Actually, I had other questions.||||
pq5|That's all I wanted to know.||||
hc1|<<The device lurches on unstable legs, thick blood oozing from its seams with each shuddering movement. >>||||
hc2|<<A woman's voice, hoarse and raspy, echoes from within the device.>>##Your service is... ((required)), prisoner XVII.||||
p10|That's not my name.||||
hc3|<<A cackle lapses into a sputter of coughs.>> ##You forfeited... the ((right)) to a name, when you betrayed... the [[Apostatic Union.]] A number is all you deserve. ||||
hc4|But I offer you the chance of penance. An opportunity to atone... for your vulgar crimes.||||
p11|I'm not gonna take orders from a coffin.||||
p12|Uh... do you need some help?||||
hc5|<<A cackle lapses into a sputter of coughs.>> ##This iron coffin is an honour, a ((privilege.)) The pain it delivers... only serves to sharpen my reason. ||||
hc6|Your base crimes against the [[Apostatic Union]] would not merit... such exquisite torment. But I can offer you redemption of a... different kind.||||
hc7|I am the [[High Confessor]] of this... [[Inquisition]] combat tribunal. We are tracking the most dangerous of criminals. ##And ((you))... will help us. ||||
p13|How, exactly?||||
p14|There's no way I'm helping the Inquisition.||||
hc8|<<She wheezes.>> Oh, but you ((will)). Your sentence... obligates such military service. Refusal would result in... ((unspeakable)) horrors performed on your person. ##So... listen closely. ||||
p15|What's in it for me? ||||
hc9|<<She wheezes.>> You should be glad of such a... ((righteous)) opportunity to serve penance. But success could bring benefits. Even your ((freedom.)) ##So... listen closely.||||
hc10|Our target's whereabouts have been known... for some time. A backwater archipelago on the very fringes... of Union territory.||||
hc11|Known as the [[Oneiric Isles]], these flying islands... are host to a manner of outcasts and miscreants. ##We arrived a few hours ago, but met with... fierce resistance.||||
hc12|Our target... is in the [[Blinding Light]] fortress; the last remaining holdout of the [[Dark Star Mercenaries...]] ||||
hc13|...for our quarry is their leader, the notorious... [[Vela Callose]].||||
p16|I guess I have no choice. ||||
p17|Never heard of her. ||||
hc14|She is the daughter of Admiral Callose. Groomed for command, but she set off on her own to found a warband... of thieves and pirates. ||||
