Dialogues:|Clockwork|||
ID|English|Voidspeak|French|German
Ras1|<<The face that peers through a straggle of hair is a picture of incomprehension and suspicion, suddenly breaking into an unexpected, gap-toothed smile of amazement.>>|||
Ras2|Come closer, there. I'm hardly going to kill the first conversation partner I've had in thirty years.##Let me ((look)) at you.|||
Ras3|You are ((real)), aren't you?##Not another entropic discharge of the [[sphere]]?|||
Ras4|Well, you certainly wouldn't be the first case of it...|||
Ras5|Still, you ((seem)) real. So do I, most of the time. My name is [[Rasmussen]].|||
Ras6|Some days - some years -  I wonder. But let's assume I am.##My name is [[Rasmussen]].|||
Ras7|Well, you look fairly real. Yes, welcome.##My name is [[Rasmussen]].|||
Ras8|<<As he comes closer, you can see that Rasmussen's clothing, ragged as it is, was once a resplendent set of Old Emberian robes: or rather, many sets, now seemingly all patched and darned together into a single bizarre ensemble.>>|||
Ras9|You really are real...##I was so sure we were all going to die out before anyone came back.|||
Ras9R|I thought we were all going to die out before anyone came back.|||
Ras10|This is...well, it doesn't really have a name. This is just...where we ended up.|||
Ras11|We, the [[Rasmussen clan]]. My ancestors. The ones who built the [[ship]] you've no doubt spotted, right on top of us here.|||
Ras12|Oh, going on forty years now, since my parents died. I think that's right, at least, it's a bit hard to keep track.##We've been here - the family, I mean - since... well, since everything, really. Long before I was born.|||
Ras13|You know! You know about it! Knowledge still endures. Yes. Yes, indeed.|||
Ras14|I should ask how you found me, I suppose, but I have so many more interesting questions! So many things I've heard about the world out there...##My grandfather told me you all live inside giant mushrooms: don't they get a bit smelly? Do you still have snakes? I always wanted a pet snake.|||
Ras15|But where are my manners? Excuse me, it's been thirty years since I needed them. My questions can wait: you must have questions for ((me)).|||
Ras16|I was trying to explain to you, wasn't I... This is...was...is our home. It was never meant to be. But the Rasmussens, we...|||
Ras17|Gladly! Well, now. My eight-greats-grandmother was an engineer. An impossibly good one.##When she was young, she became convinced that some terrible cataclysm was coming, and she built a ship to take us away, a new engine that could outrun the destruction.|||
Ras18|It...it almost worked. We escaped. But though the engine was a wonder, something went wrong with the steering, and instead of getting all the way away, the ship foundered, crashed, here.|||
Ras19|My ancestors scavenged from the ship, tore it to pieces and reassembled it, used the [[engine]] for protection instead of propulsion.##It would fry any big ship that got near, and after a while they just stopped trying. Most likely people got scared. Until...well. Until now.|||
Ras20|And so we've been here ever since. Just us. And now...now I'm the only one, the only one at all.##The last Rasmussen.|||
Ras21|I have been...hoping that someone might come, while I still could speak with them.##I imagine you want to know more about the engine, though.|||
Ras22|Ah, right. Yes, I suppose I...I suppose that's to be expected.|||
Ras23|The engine was - is - revolutionary. It still works, you know. I'm the only one maintaining it now. But I don't know what I'm maintaining it ((for)) anymore.|||
Ras24|In any case, the engine works. It's up there, up in the [[wreck]] of the ship, though without anything to do it just puts out more and more energy.##But you could [[remove it]], if you wanted. That's what you came for, isn't it?|||
Ras25|Don't worry. I know you didn't come here just to listen to me. |||
Ras26|The [[sphere]] is up above, but you won't be able to reach it just like that. It puts out too much energy to get close to it.##But there is a way to shut it off - two [[switches]], elsewhere on the island, separate from each other. Failsafes.|||
Ras27|If you can switch them both, the [[sphere]] will disconnect.##You'll be able to get it out, move it.|||
Ras28|I...yes. Off you go. Only...come back one more time, won't you? Before you leave?|||
Ras29|What, you think I'm going to stop you? You think I could even try?|||
Ras30|And in any case, what is it doing here, now? Protecting me? From what?|||
Ras31|And when I'm gone, it will be protecting nothing at all.##No. Much better that it goes back to its original purpose.|||
Ras32|Well then, you already know what you're about! If you can find the other, you'll be home and dry.|||
Ras33|<<He smiles, a little sadly.>> ## I suspected as much. Forgive an old man his little conversational indulgence, will you? I just wanted to hear another voice for a while.|||
Ras34|You can go on now, up into the ship. The sphere is there.|||
Ras35|Oh, you're back. I'm not used to all this conversation, you know. Did I already mention that? I did? Proves my point.##What was it you needed?|||
Ras36|Gladly! Gladly. I've had a bit of time to practice, you might say.##Well, now. The Rasmussen family. Family, clan, corporation, whathaveyou, they were all of those things: a line of engineers and shipwrights.|||
Ras37|My eight-greats-grandmother was a particularly gifted engineer.##It's said she saw machines in her dreams: machines, and other things too.|||
Ras38|When she was young, she saw something coming in those dreams, something dreadful. [[The Shattering]], we always called it.##She saw a terrible destruction coming, so she took her most advanced designs, the ones that were going to put the Rasmussens head and shoulders above their competitors once and for all, and she turned the blueprints into a plan for an escape craft instead.|||
Ras39|It...it almost worked. It did work. We escaped, we lived. The Rasmussens built themselves an engine, and an ark around it, and they lifted off just in time, the whole family.##But - this is the way my grandfather told it, at least, though we never much liked to talk about just what happened - though the engine was a wonder, something went wrong with the steering.|||
Ras40|Instead of getting all the way away, the ship foundered, crashed, here. Far enough away to escape the Shattering...and far enough away never to reach the world again.|||
Ras41|My ancestors guessed that something had survived in the rest of the world. We saw ships, sometimes, but nothing came near, and we had no way to get back, and in time...in time, that became the way they liked it.|||
Ras42|Yes. Here I still am.|||
Ras43|We - they, my ancestors, forgive me, they always seem very...present. They scavenged the ship, tore it to pieces and reassembled it, used the engine for protection instead of propulsion.##In time we came to fear the idea of anyone coming near, but they never did. Until...well. Until now.|||
