|HallowQuests||||
ID|English|French|German|Spanish|Italian
p0|<<Say nothing.>>||||
inq1-1|Ah, Prisoner XVII? Still in one piece, I see. Good, good.||||
inq1-2|I am Inquisitor Ignavus. I have a proposition for you, Prisoner XVII. A proposition that may prove mutually beneficial.||||
inq1-3|I have been tasked with apprehending a very dangerous individual. But, on assaulting her fortress, my agents have encountered a slight setback...||||
inq1-4|...They are all dead.||||
inq1-5|My superiors will not take kindly to this failure; I will be punished most severely. But, I may still have one card left to play, eh?||||
inq1-6|So, on consideration, I am not sure your crimes warrant such a harsh sentence, Prisoner XVII. In fact, I will release you, on one condition...||||
inq1-7|...you must apprehend the most dangerous outlaw in the Apostatic Union: Vela Callose. ||||
inq0-1|Ah, Prisoner XVII? Still in one piece, I see. Good, good.||||
inq0-2|||||
inq0-3|||||
inq0-4|||||
p1|How am I supposed to do that? ||||
p2|I'm not doing a damn thing you say.||||
inq1-8|Well, you are certainly entitled to refuse. However, I should warn you that, due to an oversight, you are three hundred days overdue an execution by prolonged torture. So, you may want to heed my offer.||||
inq1-9|Now listen. Vela Callose is the leader of the Dark Star mercenary band. They are notorious for aiding cultists and god worshippers.||||
inq1-10|Our ship is docked close to their headquarters - an old fortress from the God War. My agents launched an assault one hour ago, with... limited success.||||
inq1-11|Simply follow in their footsteps, and succeed where they failed. My drones will provide you with advice, to guide you on your way. So... any questions?||||
p3|This is a godsdamn suicide mission.||||
inq1-12|Not at all! Many of the Dark Star mercenaries have been killed in the assault; only a handful remain. ||||
inq1-13|My drones calculate that you have a one in four hundred and sixty five chance of success. So, worth a shot, eh?||||
p5|Who is this Vela Callose, exactly?||||
inq1-14|She's of noble birth, would you believe. Heir to a wealthy military family in Riova.||||
inq1-15|She was groomed by her father for command; but after the death of her mother and sister, she fled. She started preaching nonsense about some 'heaven' and managed to rally a band of thieves and brigands to her cause.||||
inq1-16|They've been causing quite the ruckus around the fringes of Union territory, aiding and abetting cultists and god worshippers. Needless to say they must be stopped.||||
p4|I'll do my best. Goodbye. ||||
inq1-18|Very good. I'm also giving you one of our Inquisition journals. It's been constructed with state of the art cipher magic; the pages will keep track of your status.||||
inq1-19|Oh, and a word of advice - I wouldn't try and run. This is a small island, and it's a... long way down. ||||
inq1-20|Ah, back already? Would you like me to recap your mission?||||
p6|Yeah - what am I doing, again?||||
p7|No need, I'll be on my way.||||
drone1|Prisoner XVII. You have been marked for temporary release. The [[High Confessor]] will see you in the central chamber.||||
drone2|Do not keep her waiting.||||
p8|Why am I being released?||||
drone3|Only the High Confessor can answer that. But I calculate there is a eight in ten chance you will be granted the honour of a glorious and sanctifying death.||||
p9|Who are you?||||
drone4|I was a prisoner, like you. But the Inquisition, in its generosity, has made me so much more.||||
drone5|Cypher magic runs through my veins. My sins have been cleansed.##I am a servant of the Inquisition, now. ||||
p10|I'll get going, then.||||
drone6|[[Damaged doors]] can be broken with a weapon.||||
drone7|There's a [[Chest]] next to me. Pick up the [[sword]], then press [[Inventory]] to open your journal.##Navigate to the [[equipment panel]], and equip the sword into one of your weapon slots. ||||
drone8|Lastly, remember to press [[attack]] to [[unholster]] your weapon.||||
drone9|Though this is a meagre task, I calculate there is a one in twenty chance you will somehow perish in the attempt.||||
drone10|You managed to break the door. It seems the prison cell did not completely deteriorate your mind . But remember, hostile enemies will actually attack back, often using sharp objects.||||
drone11|I calculate there is a high probability you will soon be dead. ||||
drone12|The road ahead is patrolled by [[Dark Star]] mercenaries.||||
drone13|I strongly recommend [[sneaking]] through the mushrooms to [[avoid combat.]]||||
drone14|It's not that I doubt your skills, Prisoner XVII. I simply calculate a three in five chance you will die horribly. ||||
drone15|Remember; direct conflict is usually avoidable. Be on the lookout for ways to [[sneak past tough enemies]].||||
drone16|Our agent is dying, but they still might be of use.## You may have to [[charm]] them to gain their trust.||||
drone17|The agent may take some convincing.##You have been a prisoner for some time.||||
drone18| I can no longer smell, but there is a high probability that you emit a foul stench.||||
drone19|Success relies on your [[Charm skill]], which is derived from the [[Persona]] attribute.||||
droneBC1|[[Inquisitor Ignavius]] is waiting for you in the nearby [[Inquisition Column]], Prisoner XVII. ##We strongly recommend speaking to him before wandering forth to your highly-probable demise. ||||
droneBC2|This [[base camp]] was used as a staging ground by our Inquisition agents.##It was highly useful for them to [[brush up on their skills]] before they all went and got themselves slaughtered by Vela's mercenaries. ||||
droneBC3|We would recommend using the [[training dummies]] to practise your swordplay; it may marginally increase the time between now and your inevitable demise. ||||
droneBC4|Looking for [[Inquisitor Ignavius]]? He has relocated to the Blinding Light fortress; you can find him near the High Confessor. ||||
agent1|Are you one of the locals? <<He looks you up and down in disgust>>.##Look, just leave me be. I've failed the Inquisition. I'd rather die in peace.||||
p11|@@ I'm here to help. Your Inquisitor has tasked me with capturing Vela Callose.||||
agent2|%%<<He lets out a weary chuckle that breaks into a cough>>.||||
agent3|Oh my, I recognise you now. You're one of the prisoners. Gods, the Inquisitor must be really desperate.||||
agent4|You know you're going to die, right? Those bastards wiped out our whole echelon.||||
agent5|If you insist on this fool's errand, you might find some supplies at my crashed drop pod.##Follow the river upstream and you should find it, by the waterfall.||||
agent6|&&You come to me dressed in rags, claiming to work for the Inquisition? Don't make me laugh.||||
agent7|Look, just leave me be. I've failed the Inquisition. I'd rather die in peace.||||
p12|Okay, I'll... leave you to it.||||
drone20|To progress, you must unlock this door. You will need a [[lockpick]] to begin. You should find an ample supply next to me. ||||
drone21|When picking a lock, there is always a chance you will fail and the lockpick will break. To pick locks more easily, increase your [[Lockpick Skill]].||||
drone22|Mechanical locks are not the only security measure you will come across.##There is an art to disguising secrets through magical means.||||
drone23|In this room, the [[candlesticks]] on the wall have been enchanted to seal a secret passageway.##To dispell them, you will need enough [[Lore Skill]].||||
drone24|The incantation will also deplete your [[Mana]] slightly.||||
drone25|A single passageway may need several switches, so always be mindful of your surroundings.||||
drone26|Over our pitiful lives, humans accrue beliefs... and delusions. When a person dies, sometimes a glimmer of who they were lingers, for a time.||||
drone27|This ethereal skull is a [[Glimmer of Delusion]].##Collect enough and you will acquire a full [[Delusion]], which allows you to increase a [[Core Attribute]].||||
drone28|You may also develop Delusions of your own, by completing quests and overcoming challenges.||||
drone29|See the [[tower]] up on the cliff? That is where [[Vela Callose]] was last sighted.##Make your way to that tower and confront her. Do not tarry!||||
drone30|Where are you going, Prisoner XVII? Are you attempting to run from your duty? ##If you ((must)) recuperate, the [[lift]] next to me will take you back to the [[Inquisition camp...]]||||
drone31|But Vela is still in the fortress, as we strongly suggest you [[go back inside]] and find a way to reach the [[battlements, up above.]]||||
drone32|In this house you'll find a [[bed]] and a [[Crystal Point]]. You should make use of both.||||
drone33|Resting restores your [[Health]], [[Mana]] and [[Maximum Stamina.]] You may only rest in a bed when it's safe to do so.||||
drone34|Crystal Points restore [[Mana]] and [[save the game]]. They also grant a [[Home Spell]], which will return you to the last used Crystal Point.||||
drone35|Remember that [[spells]] and [[usable items]] must be equipped before use, just like weapons.||||
vela1-1|<<Vela Callose stands with gravitas, her voice piercing the clatter of the ship. You notice blood seeps from her armour; she is wounded, but hides it well.>>||||
vela1-2|Loose the sails! And why is the antigrav engine not running? ## <<Suddenly, you catch her eye.>>||||
vela1-3|What's this, a straggler? The Dark Star company greets you. My apologies, but you have caught us at a rather... inopportune moment.||||
vela1-p1|Vela Callose, I've come to apprehend you in the name of the Inquisition.||||
vela1-4|<<She throws her head back and laughs.>> ## Oh, that's good. ((You've)) come to apprehend me? You look like you need a meal and a lie down. I don't think you're in a state to apprehend a silkslug.||||
vela1-5|Those Inquisition dogs really must be desperate, eh? Still, we can't tarry here. Events are in motion that can't be stopped.||||
vela1-p2|I've just escaped from an Inquisition prison. Can I join you?||||
vela1-6|<<She looks you up and down, smirking.>> ## I mean no offence, but the Dark Star company has certain standards. You don't quite fit the bill.||||
vela1-7|Prepare yourself, straggler. Great deeds are afoot. Deeds that will bring the Apostatic Union's tyranny to an end... and that will usher in a new age of Heaven.||||
vela1-8|And with that, we must take our leave. It's been a pleasure, but I doubt we'll meet again. ||||
inq2-1|So, Vela escaped, eh? Our drones detected her vessel's departure. ||||
inq2-p1|I couldn't apprehend her. I failed. ||||
inq2-2|Well, you survived, and that's something. From the looks of you, I was sure you'd be butchered almost immediately.||||
inq2-p2|I played your little game. Will you let me free? ||||
inq2-3|Oh my, no, not at all. You're still a prisoner, remember? ||||
inq2-4|And anyway, the deal still stands. Vela's still out there, and with you looking for her, The mission is not a failure. Not ((technically)).||||
inq2-5|Next, we need to ascertain where Vela may have gone. We have intel on a number of Dark Star mercenaries who flew the roost; we need to pay them a visit.||||
inq2-6|I've arranged a meeting with Vela's former [[Quartermaster]], who will meet you in the [[Wobbly Noggin]] pub. Check your [[Quest Log]] for more information.||||
inq2-7|In the meantime, we can use this God War fortress as a base of operations. Return here if you need to resupply.||||
inq2-8|I'm giving you an [[Apostatic Union Passport Document]]. It will grant access across a Union gatebridge, like the one to the south.||||
inq2-9|So, what are you waiting for? Get going!||||
bridge1|Greetin's. The bridge is closed, unless you're the bearer of a genuine Apostatic Union passport. So if you've not got one... get lost.||||
p20|I've got a passport right here.||||
bridge2|Hmm.. seal looks good. I'm not seein' any signs of magical forgery. Yup, looks like you can pass.||||
bridge3|Looks like you 'aint got squat. Go on, get outta here.||||
p21|Where can I get a passport?||||
bridge4|Mostly they're granted by higher-ups in the Union. Inquisitors an' councillors and the like. But I heard there's a shop in Hallow town that sells 'em... for a hefty price.||||
bridge5|Remember that passports are single use. One passport grants you lifetime travel over one bridge - but no others.||||
p22|I'll be going, then.||||
bridge6|<<He rifles through some paperwork.>> ## Yup, looks like you're on the list. Go on, get going. ||||
birdgeEnd1|Greetin's. This 'ere bridge leads to the Kingdom of the Endless. Nasty place full of shuffling corpses, it is.||||
birdgeEnd2|The bridge is closed, unless you're the bearer of a genuine Apostatic Union passport. So if you've not got one... get lost.||||
bridgePwyll|The Union isn't issuing new passports to Pwyll at the moment... some kind of precaution.##They're hard to come by, but someone around [[town]] might be able to help you... Have you met the [[Weightmaster]]?||||
agentBark1|||||
agentBark2|What are you doing? No offense, but you'd better leave this to the professionals. ||||
agentBark3|You look like you've just crawled out of a bush. What are you, some sort of escaped convict?||||
UnderBasaltA1R|You don't look so good, Confessor. Let's make this quick.||||
UnderBasaltA1|<<You wake with a pounding head. You gasp for breath; your lungs fill with acrid air. Everything hurts.>>||||
UnderBasaltA2|<<Basalt eyes you without sympathy.>> ##You look like squidshit, Confessor.||||
UnderBasaltA3|You must feel like you've been chewed up by a typhos. Let me fill you in. ##<<He gestures around you.>> The cutter crashed.||||
