Dialogues:|Clockwork||||
ID|English|French|German|Spanish|Italian
p1|Goodbye.||||
p0|Farewell.||||
pq1|Can I ask you some questions?||||
pq2|Okay, I think I get it.||||
pq3|Got it.||||
pq4|Actually, I had other questions.||||
pq5|That's all I wanted to know.||||
lludd1|<<The youth looks at you with caution; wide eyes lodged in a gaunt face.>> Oh, a newcomer! Uh, w-w-welcome to [[Pwyll Village]]. My name's Lludd. Were you... um... involved in all that ((commotion)) over at the old fort? ||||
p10|Sure. I've just killed more folk than you could count.||||
lludd2|<<The young man's jaw hangs agape as he searches for words.>> ##Oh my. Oh wow. I suppose there would have been... um... <<He swallows.>> ...A lot of blood, and such? ||||
p11|Yes, of course there was fucking ((blood)). ||||
lludd3|<<He visibly flinches.>> Ah. Yes. Of course. I thought so. ##<<He looks around, as if for something to say.>> Did I mention... that our town is called [[Pwyll]]? ||||
p12|No, I killed them with harsh words.||||
lludd4|<<He nods quickly, as if this is a perfectly reasonable statement.>> Ah. Yes. Of course. ##<<He looks around, as if for something to say.>> Did I mention... that our town is called [[Pwyll]]? ||||
p13|Are you okay? You seem awfully faint. ||||
lludd5|<<He nods quickly, but he seems to have grown paler since you started talking.>> Um, I'm fine, thank you. Did you... want to know about [[Pwyll]]?||||
p14|I'm an Inquisition agent - hunting criminals of the Apostatic Union. ||||
lludd6|<<He shivers and looks you up and down.>> Oh! I'm sorry, I didn't realise. You don't much ((look)) like one of those agents - you must be... ((undercover)), right? <<he whispers,>>  ##Well, if it would help... I could tell you about our t-t-town? ||||
p15|I'm just passing through; I won't cause you any trouble. ||||
lludd7|<<The boy's shoulders slacken and he looks genuinely relieved.>> Oh, okay. I can tell you a little about our town, if you like? ||||
lludd8|We're just a humble village. <<He swallows.>> Have you heard of [[scryshroom?]] It's a mushroom that shows you the f-f-future. We grow it and sell it. Only... um... things aren't going so well, lately. People are worried.||||
p16|What's going wrong, exactly? ||||
lludd9|Well, the crop yield is... bad. Each year we've been growing less scryshroom. ##<<He scratches his head.>> Some people are getting worried...||||
lludd10|<<He looks around, then leans in closer.>> I've heard some people are considering the ((old ways)). ##<<His eyes are practically bulging.>> You know, consorting with ((Wikkans)) and ((gods))? ||||
p17|That's very stupid of them.||||
lludd11|<<The boy nods furiously.>> Of ((course)). Very illegal! But also kind of ((exciting)), wouldn't you say? ##<<He seems to regret his choice of words.>> Oh, um, I just mean - it's very ((boring)) here sometimes... ||||
p19|So what? ||||
lludd12|Well, we're part of the Apostatic Union, see? So god-worship is very... ((illegal)). <<He gulps.>>||||
p20|Actually, forget it.||||
lludd13|<<He looks nervous.>> Oh, I've been waffling again, haven't I? Did you want to know anything else?||||
lludd14|Anyway, the [[local weighmaster Culwych]] has gotten pretty spooked by it all. He's weighing everyone who comes by, just to make sure they're not a Wikkan. ||||
lludd15|But my mother [[Olwen]] - oh, um, she's the mayor, by the way - doesn't seem too bothered by it all. She's much too worried about something else. I heard her mumbling about [[some sort of monster]] lately...||||
lludd16|<<He blinks.>> Oh, I'm sorry, I do tend to waffle, don't I? Is there... anything you'd like to know?||||
p21|Can you point me around town?||||
lludd17|Oh, um, I suppose so. <<He gestures behind him.>> Just in town you'll find the [[weigh house]]. The weighmaster C-C-Culwych, he's pretty respected around here. Nearby is the [[Scryshroom Company]], which sells scyrshooms of course. And, uh, other things. ||||
