NPC Name:|Shops||||
ID|English|French|German|Spanish|Italian
p1|Goodbye.||||
p2|I could do with your help. Will you follow me?||||
p3|@@Just this once. You won't regret it. ||||
p4|Okay, I'll be going.||||
p5|Okay, you can stop following me now.||||
p6|||||
p7|||||
p8|||||
p9|||||
union1|Hmph, I've heard of you. Rotten no-gooder. Go on, get out of here.||||
union2|You want me to follow you into battle? You must be joking. I wouldn't follow you into an alehouse.||||
union3|Hail, peasant. The Apostatic Union shines on us today.||||
union4|I'm sorry, friend - I can't lend my sword to just anyone. Only to those who have some status within the Union. ||||
union5|%%Hmm, well I suppose it can't hurt... ((just)) this once. Lead on.||||
union6|&&I'm sorry, rules are rules. Now off with you.||||
union7|Ah, I've heard of you. You've been doing great things in Hallowshire, I must say.||||
union8|If there's trouble afoot, I'll take your word for it. Lead the way.||||
union9|It looks like our work is done, then.||||
outlaw1|Oi, you're that rotter, aren't you? Well, you can fuck right off. ||||
outlaw2|I'd sooner stick my knife in yer gut. Now get gone before I go an' do just that.||||
outlaw3|Hmph. Got nothing to say to the likes of you. ||||
outlaw4|You think I'm gonna take orders from someone like you? Go on - sod off.||||
outlaw5|%%Well if there's loot involved, I guess I may as well see what's what.||||
outlaw6|&&I'd sooner stick my knife in yer gut. Now get gone before I go an' do just that. ||||
outlaw7|Hey, I've 'eard of you. You're alright, you know that?||||
outlaw8|Aha, well if there's something going down, I'll 'ave my piece of the action, for sure.||||
outlaw9|Alright. It's been a laugh, y'know.||||
wikkan1|We've heard of you. You've committed great misdeeds against our coven. I will say no more on the matter. ||||
wikkan2|With a flick of my wrist I could fill your eyesockets with maggots. Pester me no more.||||
wikkan3|I am an acolyte of the Wikkan Coven of the Worm. Forgive me, stranger, if I do not tarry long; there is much occupying my thoughts.||||
wikkan4|I am afraid I cannot lend my assistance to just anyone. I hope you understand.||||
wikkan5|%% There is a whisper from my inner-worm, that your words have weight. Very well. I will accompany you.||||
wikkan6|&& My inner-worm tells me not to trust you. Now, begone.||||
wikkan7|Ah, I have heard tales of you. You have done a great service to Paeguth; and for that I am ever in your debt. ||||
wikkan8|I would gladly assist you, friend.||||
wikkan9|Very well. I hope I was of some use.||||
wikkan10|Greetings, traveller. ##Have you seen the spiked [[godshells]] around here? I'm a collector of the precious [[godlets]] that dwell within.||||
p21|I have some godlets to sell. ||||
wikkan11|Most wonderful. For every godlet you give me, the [[Wikkan Coven of the Worm]] will grant you favour.||||
p22|Here's one godlet.||||
p23|Here's five godlets. ||||
p24|Take all the godlets I have.||||
wikkan12|Ah, a most generous donation. Please, take this in recompense; the Wikkan Coven of the Worm is ((most)) grateful.||||
p25|Actually, I've changed my mind.||||
wikkan13|Please; be careful with those godlets, traveller. We hope you will reconsider...||||
p26|Uh, what exactly is a godlet? ||||
wikkan14|In centuries past, the skyrealms thrived with all manner of gods. Every city, every town would be under the thrall of some deity, and we Wikkans negotiated the contracts between god and mortal.||||
wikkan15|But during the God War, so many gods were struck down. So many lost! ##Although... it is very difficult to actually ((kill)) a god, so long as faith remains...||||
wikkan16|So, we nurture those lost deities back into a physical form. The [[godshells]] protect the gestation period; and when they are ready, we harvest their precious bounty. ||||
wikkan20|Greetings, most venerable friend. The [[Wikkan Coven of the Worm]] has been watching you for some time; and we are most pleased. ||||
wikkan21|By all means, make yourself at home in this place. It is reserved only for those loyal to our cause.||||
