NPC Name:|HallowQuests||||
ID|English|French|German|Spanish|Italian
ino0|I'm counting on you, now.||||
ino1|<<Bright eyes shine from an unwashed face. You catch the girl's attention.>> ##Hey, you wouldn't wanna help a girl out, would you?||||
pq1|Goodbye.||||
p1|What's the problem?||||
p2|Sorry, I've got somewhere to be.||||
ino2|<<She wipes sweat from her brow>>. ##I've gotta deliver these Byonne silks to my guy at the Wobbly Noggin. But after lugging these here, my own noggin's not doing too good. ##<<She flashes you a smile.>>||||
p3|Alright, I'd be happy to help.||||
p4|I'll make your delivery... for a cut of the profit. ||||
p5|No thanks, you're on your own.||||
ino3|Oh, that's great! I owe you one, I really do. ||||
ino4|<<She hands you a wooden box.>> ##Just ask around for Bardolph. He's usually in the small room... if he's not got himself kicked out. ##<<She winks.>>||||
ino5|You know the way to the Wobbly Noggin?||||
p6|I'll just ask a guard if I get lost. ||||
ino6|<<You notice a slight frown.>> Really, there's no need for that. It's the pub with the giant skull, just over the bridge. You can't miss it.||||
p7|Yeah, I know the way. Goodbye. ||||
ino7|<<Her smile fades a little.>> ##Of course, that's only fair. You'll get paid.||||
ino8|Oh, hey again. <<She beams.>> ##I've still got some deliveries for the Wobbly Noggin'. Fancy helping a girl out? ||||
gd0|Hold it. <<He looks at your box.>> ##What you got there?||||
p8|I'm making a delivery for a friend.||||
gd1|<<He chuckles.>> Like I've not heard that one before. You know we've got a real problem with smugglers in Hallow. Lotta illegal goods slippin' through the net. So I'll ask again. What's in the box? ||||
p9|@@Byonne Silks. My friend is a respected tailor, and this delivery is urgent. ||||
gd2|%%Alright, alright, I've just gotta ask, is all. On your way now. ||||
gd3|&&Sure, and I'm the duke of Lundel. Let's have a look inside. ||||
p10|I was told they were silks, but I've not looked.||||
gd4|Silks my arse. Let's have a look, then.||||
p11|The box is mine. Bugger off. ||||
p12|Mind your own business. ||||
gd5|Feisty one, eh? I'll be having none o' that. Hand over that box. ||||
gd6|Sure, and I'm the duke of Lundel. Let's have a look inside. ||||
gd7|<<He cracks open the box. A writhing, tentacled creature stares up with an assortment of eyes.>> ##Yup, this here's a [[typhos]]. Nasty creature from [[Lundel]], used for poisons.||||
gd8|<<He takes the money and sighs.>> ##Look, I'm giving you a warning this time. We're watching you, though - and next time it'll be a prison cell. ||||
p13|These are silks from Byonne.||||
gd9|Alright, alright, I've just gotta ask, is all. Lot's of smugglers in Hallow, y'see. Carry on, now.||||
gd10|Now what's a vagrant like you doing with such a thing, eh?##I can tell you, the [[inquisitors]] won't be kind. You'll be hung from the gallows by weeks end.||||
p_gd1|I was set up! I didn't know what was in the box!||||
gd11|<<He rolls his eyes.>>##Don't bother. You've wandered into the spider's web either way.||||
p_gd2|Would [[5 coins]] change your mind?||||
p_gd3|Would [[20 coins]] change your mind?||||
gd12|<<He perks up at the sound of the high offer>>##Yes, I dare say it might.||||
gd13|Hmph. Make it [[10 coins]] and I'll consider it.||||
p_gd4|[[10 coins]] seems fair.||||
p_gd5|I refuse!||||
p_gd6|Please, take whatever you want, just let me go.||||
gd14|<<You quickly realizing that you do not have as much gold as you'd offered...>>||||
gd15|Pathetic. You vagrants, criminals and pagans ought to be quartered.||||
gd16|<<Without a word he grabs a variety of valuables from your bag.>>##Now listen. I'm in a good mood so I'm going to let you off. But your little box is staying with me.||||
gd17|<<After exchanging the money, He hands the box back to you with a nod.>>##Carry on now.||||
gd18|And I'm afraid I'll be keeping your little "pet" here.##<<He gestures towards the box, which suddenly lurches as if in response.>>||||
p_gd7|@@I'm an agent of the inquisition. Stand aside.||||
gd19|%%<<You tell him briefly of your mission>>##Wow! The inquisition asked you to hunt the [[Queen of the Sky Pirates]] herself? That's incredible! ... Please don't let me keep you any longer!||||
gd20|&&Enough theatrics. You're wearing on my patience.||||
bar1|<<The man cracks you a thin, yellow smile.>> ##Name's Bardolph. I don't think I know you, friend. So unless you got business here, I'd suggest you trot on. ||||
p20|I was asked to deliver some Byonne Silks to you. ||||
bar2|Ah! Innogen's newest recruit, eh? ##<<His smile grows; teeth like shattered glass.>> ##You should've said.||||
p21|She never mentioned her name.  ||||
bar3|And ruin her mysterious allure? Of course not. That's not her style.||||
p22|Here's your delivery.||||
bar4|<<He prises the box open. A cluster of tentacles burst forth, and he slams it shut again.>> ##Aha! Fine silks, fine silks indeed. These'll make a lucky noble very... comfortable.||||
p23|Wait, what was that thing? ||||
bar5|<<His expression snaps into anger.>> ##You said yourself, friend. Byonne silks.||||
p24|Glad to be of service.||||
bar6|That's what I like to hear. You're alright, you know.||||
p25|Your goods were confiscated. Innogen never mentioned the silks were... sentient. ||||
bar7|<<He bursts into a wheezy laugh>>. ##Ah, I'd love to have seen the look on that guard's face. Innogen will be pissed at losing her commission, but it's no skin off my back. You've proved yourself willing, at least. ||||
bar10|Look, we're always in need of folk like yourself. If you want more work, head down to the slums, past the docks. Look for a bust of a skeleton in one of the houses. ||||
bar11|Give it a yank. It'll let you through to the Lost Purse. Find Innogen there and she'll have more work for you. ||||
p26|Innogen mentioned something about payment?||||
bar12|Knowing her, I'd wager she wasn't the first to mention it, eh? ||||
bar13|Anyway, here's a few coins for your troubles.||||
bar0|Go on, get lost.||||
p27|Thanks Bardolph.||||
p28|I nearly got arrested thanks to your poisonous tentacle cargo. ||||
p29|Bye, 'friend'. ||||
ino10|<<It's the same girl from the docks, but her friendly disposition has gone. She eyes you with a cold stare.>>||||
p30|Innogen, right? Bardolph said you'd have more work for me.||||
ino11|You made the delivery, huh? Not bad. When I saw you walking off with it, I was sure you'd be hung up in some prison by the end of the day. Those things are really illegal, you know.||||
ino12|You've got some nerve, y'know. You got any idea how much that typhos was worth? It's been smuggled from the poison swamps of Lundel, and you just gave it to a guard.||||
ino13|And you're asking for more work? I outta gut you right here!||||
p31|It would have helped if you'd told me what was in it.||||
ino14|You really are an idiot, huh? The box was bloody writhing around. And what kinda silk smells like a rotting corpse?||||
p32|I'll get it right this time.||||
ino15|Yeah well, you'd better. For your sake.||||
ino16|Just so you know - if it was up to me, you'd be lying in a gutter right about now. But Bardolph calls the shots, so I guess I've got work for you. ||||
p33|That package was not silk. It could've killed me!||||
ino17|You really are an idiot, huh? The box was bloody writhing around. And what kinda silk smells like a rotting corpse?||||
ino18|Anyway, Bardolph told me to give you another job, so speak to me again when you're ready.||||
ino19|Anyway, Bardolph told me to give you another job, so here we go.||||
ino20|So, there's this wealthy merchant called Vernon Berwig. He runs the winged merchants guild and lives on a fancy street up in Hallow. He's a collector of strange artifacts, and our client wants their hands on a particular one.||||
ino21|Now, I already had someone scout out his property. There's a chamber downstairs that's barred from the other side. The item's gotta be in there, but a lockpick's not gonna cut it.||||
ino22|So, there must be a secret way into Vernon Berwig's house, that leads to that chamber. Find the secret entrance, recover the strange artifact. Simple, huh?||||
ino23|Wow, you stole that artefact from Berwig's house? I gotta admit, I'm impressed. I had you down as a quitter, for sure.||||
ino24|The client's gonna be real happy with this. You've earned your pay, and then some.||||
king1|<<The man squints at you for a moment.>> ##Ah, you were here earlier, yes? I remember you.||||
king2|<<The man jolts awake from a daze. Though he is not old, his eyes betray a weariness.>> ##...Orbaith, is that you? ##Oh, I'm sorry, stranger. I must have been dreaming again. I seem to do little else these days.||||
king3|Now, let me just - oh, damn, damn. Where is it?||||
king4|My dream journal - I've lost it again. I must have dropped it when running from those goblins on the mountain. Say, if you're wandering these parts, would you mind keeping an eye out for it?||||
pKing1|What's this about your journal?||||
king5|Yes, yes - I've lost my dream journal. I think it's been dropped near the goblins that inhabit the mountain east of here. ##Go past the fortress and look for a lake; then follow the river upstream. You should find them there.||||
king6|I've noticed they sometimes clear off at night. If you want to avoid a fight, you could rest a while in my bed. Approach when the neuron star has shrunk and they might be gone.||||
pKing2|I've found your journal.||||
king7|<<He leafs through the pages excitedly.>> ##Yes, it's all here - Orbaith. The war. The machine-age. Please, take this, along with my sincerest thanks.||||
pKing3|Can I ask you something?||||
king8|You may certainly try, but things tend to slip from my mind of late - and these old bones won't carry me far.||||
king9|Have you heard of Vela Callose? ||||
king10|Vela, Vela... Oh, you mean that young commander? Leads that band of mercenaries, up in that old fortress?||||
king11|I was a bit worried when they took over that place. I thought they might cause some trouble - but honestly, other than the noise, they've been no bother.||||
king12|That Vela girl even visited me, once. She sat and listened to my dreams, and left me some food. Seemed a nice girl.||||
pKing4|Your bones don't look ((that)) old.||||
king13|<<He chuckles softly.>> Ah, yes, many people tell me that. In truth, I can't remember how old I am. My mind is foggy; my memories shrouded in mist.||||
king14|But my dreams? They are vivid. I dream of my daughter, Orbaith - and a terrible war. I keep a journal, in the hope of deciphering truth from dream.||||
pKing5|What can you tell me about these islands?||||
king15|Hmm. These are the Oneiric Isles, but I'm no local here myself. Let's see... we're circled by a small red neuron star, though you've probably noticed that already. ##Oh, yes - and lately folk have been making a great deal of fuss about some Apostatic Union.||||
king16|The Union renounced their gods, I believe - and even went as far to wage war on them. They've claimed these islands for their own, but not everybody agrees with their apostasy. Many folk won't give up their worship. ||||
king17|That reminds me - I think I knew a god, once. Or... was that just a dream?||||
pKing6|Farewell.||||
