0: stringID|1: imageID|2: English Title|3: English Text|4: French Title|5: French Text|6. German Title|7. German Text|8. Spanish Title|9. Spanish Text|10. Italian Title|11. Italian Text
test_book|penitentStory_death|South Wind Prayer|The chimes proclaiming South Wind's Prayer echoed through the wide boulevards and gardens of the Imperial City, calling all to their temples. The Emperor Reman III always attended a service at the Temple of the One, while his son and heir Prince Juilek found it more political to attend a service at a different temple for each religious holiday. This year, it was at the cathedral Benevolence of Mara. # The chimes proclaiming South Wind's Prayer echoed through the wide boulevards and gardens of the Imperial City, calling all to their temples. The Emperor Reman III always attended a service at the Temple of the One, while his son and heir Prince Juilek found it more political to attend a service at a different temple for each religious holiday. This year, it was at the cathedral Benevolence of Mara.|French Wind Prayer|FRENCH BOOK: The chimes proclaiming South Wind's Prayer echoed through the wide boulevards and gardens of the Imperial City, calling all to their temples. The Emperor Reman III always attended a service at the Temple of the One, while his son and heir Prince Juilek found it more political to attend a service at a different temple for each religious holiday. This year, it was at the cathedral Benevolence of Mara. # The chimes proclaiming South Wind's Prayer echoed through the wide boulevards and gardens of the Imperial City, calling all to their temples. The Emperor Reman III always attended a service at the Temple of the One, while his son and heir Prince Juilek found it more political to attend a service at a different temple for each religious holiday. This year, it was at the cathedral Benevolence of Mara.||||||
wikkanTyranny|bk_wikkanTyranny|On Wikkan Tyranny, by Nelio Conicus - 1436|There was a time, before the God War, when every human settlement on these flying isles was built around a Wikkan coven. From Vena to Slev they enforced worship, demanding prayer to their gods. And so did those old gods grow in power once more, under the flag of Wikkan tyranny. ##That the Apostatic Union succeeded in overthrowing this tyranny - in casting down those gods - is a miracle worth celebrating. I am old enough to remember Wikkan rule. Every spell, every letter of cipher was controlled by the covens. What magic was permitted changed from realm to realm, as each coven's god had its own fickle whims. Not since the Middle Ages, when gods ruled supreme, has human development been so stunted. ##And since the Union gained its freedom, look at the advances we have made; airships soar through the clouds! Lowly scribes cast spells of swiftness and strength! Our cities throb with wealth and progress! No longer must we barter with gods for the merest enchantment; humanity rules its destiny, like the Emberians of the past. ##And yet, there are those in our midst who would see it all torn down. Outside Union borders, the Wikkans and their gods are more powerful than ever. Their spies and priests still lurk in every corner of the Union - some even hidden and protected by our own traitorous citizens! And despite these dangers, what do we discuss in our councils? Reform? Softer punishments for god worship? I call this foolishness of the highest regard. ##Many know of Beatrice Webb - she has made quite a name for herself here in Riova. She attests that our methods are too harsh. That god worship should be punished with a mere fine, and that censure of texts should be ended - bringing about a 'freedom of the quill'. ##I argue that such things would, in no uncertain terms, bring about the destruction of the Apostatic Union. It is only by a hair's breadth that we can stay ahead of our many enemies; the Wikkans would see our realms torn apart, our magical progress abolished and the rule of the gods reinstated. Nay, our punishments are not too harsh, they are too soft. I would see Wikkan sympathisers hung before I bow to another god. I am old enough to remember Wikkan tyranny, and I would die before I see it reinstated. ||||||||
kingTristwich|bk_paganMan|The Tragedy of King Tristwich, by Joan Toussaint - 1213|Though the bodies are buried thus ending our war,#Weep, weep for Tristwich, for none have lost more.'##So goes a rhyme from the War of Weeping, in the middle ages. A time before the World Rend, before the golden age of the Emberians. A time when castles rose high and kings were bound to patron gods. ##King Tristwich ruled Thwyf, a surface-kingdom now lost. He was tied by ceremony to Paeguth, a god of growth and long-life. Tristwich bore these gifts plainly; there are accounts that at the age of one-hundred, he still bore the face of a man not thirty winters old. His kingdom flourished; each harvest was more bountiful than the last, and the people rejoiced.##But any god-contract bears a cost. In those early years such burdens were subtle; Tristwich could not conceive an heir. He ruled in sadness, old in mind yet young in body, and he outlived his wife.##When his grief subsided, he adopted a daughter; a war-orphan, Obaith. As she grew, it kindled a love in Tristwich like he had never known. In time, Obaith fell in love with a prince from a neighbouring kingdom; and the magnificent marriage would forever unite the two realms. ##The ceremony was exquisite, the vows poetic. But as the betrothed shared a gentle kiss, crimson spilled forth. Their last breath was shared and they both fell down dead. For the prince's patron god was Elswyn; a god of love, but also of war. This was not a marriage, but a declaration.##The fields of Thwyf were stained with blood. Neighbouring kingdoms joined the conflict, and soon the whole continent was at war. Not before or since have so many lost their lives; for it is said that every family in every realm knew grief. Thus it was known as the War of Weeping.##Paeguth blessed the warriors of Thwyf with strength, but his love was tainted with pain - and his warriors became monstrous. As the war raged, kings and gods alike were slain, their kingdoms lost. ##On the dawn of the sixtieth summer, Thwyf's last stronghold was besieged. Elswyn stormed the castle-keep herself, and slew the bloated, monstrous form that Paeguth had become... though some say an aspect of him escaped. ##What became of Tristwich, the old books do not say -  though an old wive's tale persists. It was said, on the moonlit fields of Thwyf, a strange man could sometimes be seen. He would stumble forth, calling the name of Obaith, tears streaming from youthful eyes.||||||||
worldRend|bk_worldRend|The World Rend, by Joan Toussant - 1206|The World Rend. Though it has long passed into distant memory, it is still spoken of in hushed tones by nervous speakers. For who cannot still dread the cataclysm that levelled our cities, purged our wisdom and sent us fleeing to the sky? ##There are none alive who remember stable ground underfoot. Generations have lived and died on these continents adrift, steered by fickle winds. To look below, unto the world's surface, is to witness a seething hell. Few who visit that wasteland return; and those who do are cursed a painful death. ##And yet what do we truly know of the World Rend? Rumours, hearsay, legend. It is the most important historical event, yet it remains a mystery. The Emberians, whose civilisation reached its peak at the dawn of this terrible new age, stored all their wisdom in magical cipher. Their technology was made inert by the Rend, everything was lost. We know more about the kings and queens of the Middle Ages - thanks to their humble quills - than we do the Emberians. ##And so, in this age of ignorance, do I strive to collect what fragments of truth I can gleam. My own quill may yet prove a more powerful instrument than a century of Emberian technology. ##The World Rend occurred in the year 984. That we even still use the old calendar is a miracle of the Chronos Guild; for the slow-turning Neuron Star of Old Wikka, upon which the clocks of old were set, was destroyed in the event. ##Most accounts depict the Rend as a flash of magical energy. It engulfed the world, searing its surface and destroying every city and every settlement found below. Only those few people survived - outcast and adrift on the islands of the sky. ##Because the Emberians shunned the instability of the flying continents, few of their outposts existed here. In a pertinent irony, those who were outcast from Emberian civilisation - the Wikkans and the Endless, to name but two - suddenly outnumbered their old rivals. And thus the last remnants of Emberian civilisation were torn apart by their enemies. ##But from the ashes, new societies emerged. Survivors banded into groups and rebuilt as best they could. Emberian technology proved useless, so a new generation of humanity rekindled old knowledge. Houses were raised of brick and stone, magic spells were re-learned with simple cipher. The Wikkans and their gods found power anew, and their covens were built in every city. ##Now, as I write from the thriving realm of Byonne, I cannot help but smile at our accomplishments. But it is a smile tinged with sadness, for we still toil in the shadow of that terrible cataclysm. We still bear the trauma of the World Rend.||||||||
onPaeguth|bk_onPaeguth|On Paeguth, by Theodore Hubert - 1389|Paeguth. In ancient times, no speck of land in the bounds of the fallen empire had not felt the loving touch of their miasmic embrace. So ubiquitous was their presence that crumbling effigies can still be found to this day; though it is unlikely most would recognize them as such.##Like all early Gods, the shape Paeguth took upon their arrival bears little resemblance to how we picture them today. Early accounts depict Paeguth as a soft and gentle creature; half the stature of a normal person and with a bleating voice not unlike a baby lamb. Wherever Paeguth tread, life spilled forth. Whenever new life sprang up, Paeguth was sure to follow. So entwined werre they to life and growth that the Wikkans granted them governorship over these domains: the God of Fertility, life, and abundance.##As with all Gods, Paeguth changed with time. His change was not a gentle one. In the middle ages, when Elswyn initiated the War of Weeping, Paeguth joined those that sought to oppose her destructive tide. However, Paeguth soon found that life was more easily cut short than nurtured. They watched scores of their most beloved cut low by Elswyn's crimson axe. Each crumpled body scarred Paeguth's soul. And in that bed of scars, their heart hardened.##Paeguth retreated deep into a dark cave untouched by war. There they studied the hardy creatures that eked out a meagre existence in the darkest untouched corners of the earth. They learned that life can endure when one discards such foolish notions as beauty and grandeur. When Paeguth emerged, their grotesque body heralded in a new order: life unending, at any cost.##Many would recoil at the God's new terrifying visage. Many others would come to welcome their blissfully cancerous embrace. Those that worshipped them would slowly be warped into new grotesque forms. Though hideous, these creatures were engineered for almost limitless survival. ##It is unclear if Paeguth survived the World Rend. Many theorise that the earth's sundering was enough to finally shatter the once-loved God. Others believe - or perhaps pray - that they have once again returned to their cave, and will again bestow the gift of nigh everlasting life upon their faithful followers.||||||||
godHuntPoster|bk_cipher1|CALLING ALL DENIZENS OF THE APOSTATIC UNION!|Our land is beset with a most terrible famine. Can you sit idle while your crops fail and your loved ones perish? ## We all know who is to blame - The god worshipper! The cultist! For too long they have uttered their dread prayers from the fringes of society, bringing terrible omens upon our lands. ## Our Polymath humbly requests the aid of every denizen in this matter. Visit the Apostatic Union's Council building, in the centre of town, to enquire further.||||||||
truthOfCipher|bk_cipher1|The Hidden Truth of Cipher, by Anonymous|The art of cipher magic is practised in every corner of the Apostatic Union, based on the learnings of its universities - yet there is a paradox at the very heart of their scripture. To speak openly about it will see the full wrath of the inquisition fall upon one's liberty, and so - for fear of rotting in some dark cell - I must hide the authorship of this treasie. But let it be known, I am a scholar of some renown.##It is entirely true that there is a hidden language to the cosmos. A series of symbols that comprise an incomplete alphabet known as cipher. Individually these symbols are meaningless; but when strung together into lines, they can have profound effects. This is the basis of all magic.##But while human scribes must painstakingly etch out each symbol, their pens heavy with the import of the task - the gods' very thoughts are writ in cipher and magic comes to them easily.##Nonetheless, the gods are still bound to the rules of cipher. This was the philosophical justification for the God War, the renunciation of Wikkan control - and the forming of the Apostatic Union. For if humans and gods draw from the same power, the argument went, then why must we submit ourselves to a divine hierarchy?##Indeed, the first Union polymath theorised that cipher itself was created by humanity; that in the cave-dwelling days of prehistory, humans discovered a power in themselves and built a language around this power, that etched itself upon the cosmos. As human superstition led them to pray to divine beings of their imagination, such beings were made manifest from that belief.##Such is the reasoning that lies at the very heart of the Apostatic Union - that man predated cipher, and to defy this supposed truth is to commit an act of treason in the Union.##But in the past few decades, scholars have made incredible advances in cipher research. We can study the cosmos with a precision not enjoyed since before the World Rend. And what have we discovered? That there are certain rules written into the very fabric of existence. A sentence - theoretical, but very likely to exist - threads itself through this world, and every world.##This sentence explains the limitations of our spells. Why we cannot reverse the flow of time; why we cannot resurrect the long-dead. But most important of all, it was written long before humans existed, and it is written in cipher.##By whom? We cannot say - and likely never will, because the Inquisition has taken every  possible step to repress this research. I have witnessed my contempoaries disappear; others threatened into silence. I have watched entire library wings burned down to the ground.##But it is imperative that we spread the truth. An ideology founded upon a lie is rotten to the core.||||||||
islandGuide1|bk_gremlins|A Guide to the Oneiric Isles, by Niccolo Lopo - 1442|It was a sweltering day in Riova when my editor burst through the door. The twin stars of Vena were dancing high that day, bathing the city in a searing yellow haze.##"Niccolo!" he yelled, after nearly dislodging my front door from its hinges. The impact of his entry had caused my house to sway, suspended as it was - like all houses in Riova - from the interconnected web of pulleys, cables and bridges that kept the city aloft.##"You are going to the Oneiric Isles!" he declared. "Your ship leaves tomorrow."##I must confess, I was taken aback. The periodical I wrote for - The Weekly Wail - was mostly concerned with the petty dramas of Riova's wealthy elite, with little penchant for travel memoir. But then, the proliferation of cipher-based periodicals, with their self-updating calligraphy, was making my editor nervous. He had clearly decided that sending me to the arse-end of nowhere, to my certain demise, would titillate our readership and bring in some coin. ##Many citizens know of the Oneiric Isles only from fairy tales. It is a small archipelago of little political import, drifting around the southernmost edge of the Apostatic Union's borders. While its central region of Hallowshire saw fierce fighting during the God War, it has only recently been absorbed into the Apostatic Union's territorial sphere. ##What both excited my editor - and perturbed myself - was the inarguable wildness of these strange islands. They are illuminated by a single neuron star, which orbits close to the islands, dousing them in a magenta light. ##The Wikkan Coven of the Worm has long squirmed in the dark recesses of Hallowshire, and has caused nothing but trouble for the Union forces stationed there. Similarly, the historic lawlessness of that place has made it a dark haven for smugglers, pirates and brigands alike. ##Meanwhile, beyond the Union's territory lies even stranger islands. The archipelago's western edges are home to the notorious Endless; who feature in many whispered old-wive's tales, but have rarely been glimpsed by mortal eyes. ##The eastern islands, mind you, are very different. The realm of Kardova, which famously declined to enter the Apostatic Union's commonwealth after the God War, has been found there. Its exact relocation cannot be dated, as is so often the case with islands drifting unrecorded through the skyrealms - but the strange, complex machines that are being constructed there have caught the attention of many of the Union's scholars and aetherists. ##To travel to such a place, then, was a folly of the highest order. Indeed, I would have turned down the venture in an instant - were I not facing imminent bankruptcy. So with a heavy heart, I accepted and began to pack my things. ##These volumes, originally published in my column in The Weekly Wail, recount my foolhardy venture into the strange and dangerous Oneiric Isles.||||||||
islandGuide2|bk_cipher1|text|text||||||||
islandGuide3|bk_cipher1|text|text||||||||
