|1: English|2: French|3. German|4. Spanish|5. Italian
THIS_LANGUAGE|English|French|German|Spanish|Italian
AUTOMATIC_LANGUAGE|Automatic|Automatic|||
VERSION_NUM|Version|Version|||
START_GAME|Start Game|Start Game|||
OPTIONS|Options|Options|||
SCREEN_RESOLUTION|Screen resolution|Screen resolution|||
RESOLUTION|Resolution|Resolution(F)|Resolution(G)|Resolution(S)|Resolution(I)
CONTROLS|Controls|Controls|||
BRIGHTNESS|Brightness|Brightness|||
LOOK_SENSITIVITY|Look sensitivity|Look sensitivity|||
FOV|Field of view|Field of view|||
MUSIC|Music volume|Music volume|||
SFX|Effects volume|Effects volume|||
VOICEOVER|Voiceover volume|Voiceover volume|||
CAMERA_MOTION|Camera motion|Camera motion|||
VSYNC|VSync|VSync|||
CAPFRAMERATE|Cap Framerate||||
INVERT_Y|Invert Y Axis|Invert Y Axis|||
FULL_SCREEN|Full screen|Full screen|||
WOBBLY_GFX|Wobbly 3D|Wobbly 3D|||
WOBBLY_TEXTURES|Wobbly Textures|Wobbly Textures|||
RETRO_RES|Retro Resolution|Retro Resolution|||
QUIT|Quit|Quit|||
TITLE_SCREEN|Title Screen|Title Screen|||
CANCEL|Cancel|Cancel|||
ACCEPT|Accept|Accept|||
BACK|Back|Back|||
NEXT|Next|Next|||
YES|Yes|Yes|||
NO|No|No|||
RETURN|Return|Return|||
DELETE|Delete|Delete|||
BINDING_X|Binding '{0}'.|Binding '{0}'.|||
WAITING_FOR_INPUT|Waiting for input...|Waiting for input...|||
PRESS_X_TO_CANCEL|Press {0} to cancel|Press {0} to cancel|||
RESET_ALL|Reset All|Reset All|||
RESET|Reset|Reset|||
MOVEMENT|Movement|Movement|||
ACTION|Action|Action|||
SELECTION|Selection|Selection|||
MENUS|Menus|Menus|||
KEYBOARD|Keyboard|Keyboard|||
CONTROLLER|Controller|Controller|||
MOVE|Move|Move|||
JUMP|Jump|Jump|||
SPRINT|Sprint|Sprint|||
DODGE|Dodge|Dodge|||
CROUCH|Crouch|Crouch|||
INTERACT|Interact|Interact|||
SPELL|Spell|Spell|||
ITEM|Item|Item|||
SCOPE|Scope|Scope|||
LANGUAGE|Language|Language|||
HOLSTER_WEAPON|Holster Weapon|Holster Weapon|||
SWITCH_WEAPON|Switch Weapon|Switch Weapon|||
SWITCH_ITEM|Switch Item|Switch Item|||
SWITCH_SPELL|Switch Spell|Switch Spell|||
BLOCK|Block|Block|||
MAP|Map|Map|||
AIRSHIP_1|Airship 1|Airship 1|||
RECENTER_CAMERA|Recenter Camera|Recenter Camera|||
BOOST|Boost|Boost|||
EXIT|Exit|Exit|||
AIRSHIP_2|Airship 2|Airship 2|||
ASCEND|Ascend|Ascend|||
DESCEND|Descend|Descend|||
TILTUP|Tilt Up|Tilt Up|||
TILTDOWN|Tilt Down|Tilt Down|||
REVERSE|Reverse|Reverse|||
MENU|Menu|Menu|||
DIFFICULTY|Difficulty Mode|Difficulty Mode|||
DIFFICULTY_WARNING|This setting is permanent and cannot be changed during your playthrough.|This setting is permanent and cannot be changed during your playthrough.|||
NORMAL_MODE|Normal Mode|Normal Mode|||
NORMAL_MODE_SHORT|NORMAL|NORMAL|||
HARD_MODE|Hard Mode|Hard Mode|||
HARD_MODE_SHORT|HARD|HARD|||
CHARACTER_CREATE|Character Creation|Character Creation|||
YOUR_PAST|Your Past|Your Past|||
PAGE_LEFT|Page Left|Page Left|||
PAGE_RIGHT|Page Right|Page Right|||
CONFIRM_SURE|Are you sure?|Are you sure?|||
CONFIRM_TITLE|Return to title screen?|Return to title screen?|||
CONFIRM_RESET|Reset controls to default?|Reset controls to default?|||
CONFIRM_RESOLUTION|Keep this resolution? Will revert in a 5 seconds.|Keep this resolution? Will revert in a 5 seconds.|||
CONFIRM_QUIT|Quit the game?|Quit the game?|||
