NPC Name:|Endless||||
ID|Английский|Французский|Французский|Немецкий|Итальянский
Quit1|До свидания.||||
Quit2|Прощай.||||
Quit3|Мне пора идти.||||
Quit4|Хорошего дня.||||
Quit5|Неважно.||||
Quit6|Мне пора.||||
Quit7|Извините за беспокойство.||||
Quit8|Понял.||||
Quit9|Ясно...||||
Quit10|Продолжай.||||
Quit11|Да здравствует Король.||||
Quit12|Заткнись.||||
Quit13|[Оставь их в покое.]||||
SqWheelA1|<<Трое посетителей сидят за столом, согреваясь горячими кружками и обсуждают газету приглушенными голосами.>>##Видишь? Тут написано, что она из [[Алскопа,]] но никто из нас не помнит деревни с таким названием. Говорю тебе, они стерли всё –||||
SqWheelA2|<<Они замечают, что вы слушаете.>>##О, э-э, благословение Короля, гражданин! Не обращайте на нас внимания, мы просто впитываем последние новости из Королевского Сообщения. Хорошо знать, что [[Гильдия]] всё держит под контролем, да?||||
SqWheelB1|<<Трое посетителей сидят за столом, согреваясь горячими кружками и обсуждают газету приглушенными голосами.>>##Конечно, тут ничего нет о сбое призыва. [[Машинисты]] никогда не признают, что [[Саботажник]] дал им по носу –||||
SqWheelB2|<<Они замечают, что вы слушаете.>>##О, э-э, милость Короля, приятель. Просто старички наслаждаются нашим недельным пайком. Каждый день я благодарю звезды, что живу здесь, а не где-то ещё.||||
SqWheelC1|<<Трое посетителей сидят за столом, согреваясь горячими кружками и обсуждают газету приглушенными голосами.>>##Полная чушь. Моя кузина в [[Янске,]] её дочь видела [[Искажённого]] в лесу на прошлой неделе – это расползается повсюду –||||
SqWheelC2|<<Они замечают, что вы слушаете.>>##О, э-э, благодать Короля, дорогой! Разве не приятно быть в безопасности и тепле в [[Феррополисе]], где [[Гильдия]] может о нас позаботиться? Без сомнения, Искажение скоро будет устранено...||||
Drinker1|Ты слышал о голоде в [[Хэллоушире]]? Говорят, Инквизиция сидит на огромных запасах еды, но вешает всех, кто об этом говорит.||||
Drinker2|Я знал, что будут проблемы, когда Союз туда перебрался. Чёрт возьми, я знал.||||
DrinkerP1|Где ты услышал этот слух?||||
Drinker3|<<Они выглядят гордо.>>##Я прочитал об этом в Королевском Сообщении. Да, чёрт возьми, я прочитал! Правда, буквы я выучил всего несколько лет назад. Мой сын до сих пор помогает мне с техническими словами.||||
DrinkerP2|Кто научил тебя читать?||||
Drinker4|Класс от Гильдии, как же. Машинисты согнали кучу нас, неграмотных, в старый храм каких-то святош.||||
