NPC Name:|Endless||||
ID|Английский|Французский|Французский|Немецкий|Итальянский
p1|Прощай.||||
p0|До свидания.||||
pq1|Могу я задать тебе несколько вопросов?||||
pq2|Ладно, кажется, я понял.||||
pq3|Понял.||||
pq4|Вообще-то, у меня есть другие вопросы.||||
pq5|Это всё, что я хотел узнать.||||
chi0|<<Женщина, которая приближается к тебе, наполовину разложилась. Один глаз молочно-белый, а другой отсутствует. Сквозь рваную кожу видна жемчужная белизна её челюстной кости.>>||||
chi1|Осторожнее, дышащий. Это был сильный удар. Ты ранен?||||
p14|Что это было?||||
chi2|Небольшое землетрясение, вот и всё. В последнее время они случаются всё чаще.||||
p2|Я в порядке.||||
chi3|Рада слышать.||||
p3|Просто немного потрясён, вот и всё.||||
chi4|Хахаха! Хорошая шутка, дышащий.||||
chi5|Но тебе стоит быть осторожнее — это землетрясение разозлило криптовых червей.||||
p5|Криптовые черви?||||
chi6|Мерзкие твари. Они роют норы, летают и едят людей. Просто держись от них подальше, вот мой совет.||||
p6a|Ты выглядишь... не в лучшей форме.||||
p6|Что случилось с твоим лицом?||||
chi7|Уверена, ты слышал истории о Вечных, дышащий. Бессмертие имеет свою цену.||||
p7|Ты знаешь, что вызывает эти землетрясения?||||
chi8|Люди говорят, что это Погребённый, который заточен под Замком Ребер. Говорят, он просыпается. Но люди много чего говорят, и если верить всему, можно сойти с ума.||||
chi9|В любом случае, ты явно новичок здесь, и у меня есть немного свободного времени. Есть что-то, что ты хочешь узнать?||||
chi10|Снова здравствуй, дышащий.||||
p10|Кто такой Погребённый?||||
chi11|Понятия не имею. Он сотрясает остров уже несколько веков, но в последнее время это происходит всё чаще. Я слышала, что если он продолжит, весь остров может развалиться на куски.||||
p11|Что такое Замок Ребер?||||
chi12|Дворец, где обитает наша Королева. Если ты пойдёшь на запад, то не сможешь его пропустить.||||
p12|Расскажи мне о Королеве.||||
chi13|Её полный титул — Королева Серебра. Она немного затворница. Она правила Вечными три столетия, и последние два века она ни разу не появлялась на публике.||||
p13|Кто ты?||||
p13a|Кто ты, ещё раз?||||
chi14|Меня зовут Хиазма. Я просто жду, когда меня допустят в один из Мавзолеев.||||
chi14a|Я уже говорила тебе, дышащий — меня зовут Хиазма. Я просто жду, когда меня допустят в один из Мавзолеев.||||
p15|Что такое Мавзолеи?||||
chi15|Видишь те большие внушительные гробницы вдалеке? Большинство Вечных живут в этих Мавзолеях в наши дни. Они ждут, когда Перевозчик придёт и заберёт их.||||
p16|Почему ты не в Мавзолее?||||
chi16|Они переполнены, и лучшие гробницы достаются тем, кто больше заплатит. Так что бедняки вроде меня должны ждать, пока освободится место. Обычно после атаки червей.||||
p17|Увидимся позже, Хиазма.||||
chi17|Удачи, дышащий. Смотри под ноги.||||
p18|Ты когда-нибудь видел говорящего ворона в королевстве?||||
chi18|Не могу сказать, что видел. Звучит как какая-то магия. Если бы я был на твоём месте, я бы пошёл поговорить с Кающимся Тхавом — она знает всё, что нужно знать о таких вещах.||||
p19|Кто такой Кающийся Тхав?||||
chi19|Маг, который живёт в святилище, возвышающемся над фермой плоти. Ты можешь увидеть его на том хребте, к северу. Она самая молодая из Вечных. Всего двести лет — практически юнец.||||
p20|Ты верен Королю в Капюшоне?||||
chi20|Вау, какой вопрос... Нет, я не верна монарху, который мёртв уже три столетия. Очевидно.||||
chi21|Конечно, дышащий. Хочешь спросить что-то ещё?||||
chi21a|Ещё что-нибудь хочешь узнать об этом месте?||||
p21|Можешь рассказать мне об этом месте?||||
chi22|Ну, ты входишь в земли Вечных. Наш остров гробниц дрейфует по небесным землям ещё со времён до Мирового Разлома; даже до тех проклятых Эмберианцев... ((Перевозчик, упокой их души)), эхех.||||
chi23|Впереди ты найдёшь город Сепулькр. Но будь осторожен, дышащий — в последнее время было много землетрясений.||||
p22|Что в Сепулькре?||||
chi24|Честно? Не так уж много. Большинство из нас, Вечных, живут в мавзолеях. Но ты можешь снять комнату в Гнилом Гробу, и там есть места для торговли.||||
chi25|Над Сепулькром возвышается Замок Ребер, где обитает Королева. А сразу за городом находится ферма плоти.||||
p23|Погоди, ты сказал ферма плоти?||||
chi26|Верно, дышащий. Нам, Вечным, нужно питаться живой плотью, иначе мы становимся туманными. Много лет назад мы вели Крестовые походы Кадавров, захватывая живых силой — но Кающийся Тхав придумала гораздо лучшее решение.||||
chi27|Ферма плоти — это огромные чаны, выращивающие безмозглое мясо. Гораздо гуманнее, чем есть сырого человека. Надоедает, когда твой обед постоянно кричит о пощаде.||||
bar0|<<Вечный стоит, медленно протирая кружку гнилой тряпкой. Он плюёт на тряпку — видимо, в попытке очистить её — но кусок его губы отваливается в процессе.>>||||
bar1|Хм, пока я живу и гнию — настоящий дышащий. В последнее время не так много таких, как ты, проходит через Сепулькр. ||||
bar2|Добро пожаловать в Гнилой Гроб. У нас есть кровать для аренды — единственный настоящий матрас во всех гробницах Вечных. У нас также есть призрачный напиток.||||
bar3|Эй, смотри, дышащий вернулся. Как тебе воздух? ||||
p24|Я сниму кровать.||||
bar4|Отлично! Мне говорили, что она очень удобная. Но, учитывая, что ты первый, кто будет спать на ней за последние несколько лет, матрас может быть немного гнилым. Просто смети личинок, и всё будет в порядке. ##В любом случае, это будет стоить две монеты.||||
p25|Эм, вот, держи.||||
bar5|Спасибо, дышащий. Просто следуй по лестнице; она наверху.||||
bar6|Извини, дышащий, похоже, у тебя недостаточно.||||
bar6b|Ах, ты уже заплатил за это, дышащий.||||
p26|Эм, я передумал.||||
bar7|Пфф. Вы, дышащие, всегда такие брезгливые.||||
p27|Могу я задать тебе несколько вопросов?||||
bar8|Думаю, у меня есть время. Мы не были заняты уже добрую сотню лет.||||
p29|Ты знаешь, есть ли какая-то работа?||||
bar9|Не так много работы за пределами мавзолеев, дышащий. Но ты можешь попробовать посетить Сенешаля Королевы в Замке Ребер. Может быть, у неё найдётся применение для кого-то с работающей нервной системой?||||
bar10|Иначе, есть ферма плоти, на хребте к северу отсюда. Насколько я знаю, там только Кающийся Тхав и её подчинённый, так что, возможно, им нужна помощь.||||
p30|Что это было насчёт призрачного напитка?||||
bar11|Ну, у нас, Вечных, другая... конституция, чем у вас, дышащих. Нам нужен другой напиток, чтобы почувствовать эффект.||||
bar12|Призрачное вино можно варить как зелье, но лучшие сорта — эктоплазматические. Когда призрак создаётся через травму, иногда близлежащие предметы — или даже ((напитки)) — переходят в духовный мир. Это и есть хороший материал.||||
bar13|Или, для Вечного, у которого нет монет, всегда есть старый добрый мышьяк. Но я бы не рекомендовал это таким, как ты...||||
p31|Какая история у этого города?||||
bar14|Ну, этот город называется Сепулькр. <<Он наклоняет голову.>> Ты хочешь длинную версию или короткую?||||
p32|Длинную.||||
bar15|Много лет назад — и я имею в виду ((столетия)) назад, в эпоху королей и замков — это было мирное королевство под названием Вердант. Большинство людей всё ещё жили на поверхности мира, до того, как её разорвали на части — так что мы были своего рода пионерами.||||
bar16|Наши величественные деревянные здания возвышались над соснами, и наши монархи были справедливы, и воздух был сладок. ##Затем наш Король в Капюшоне навлёк проклятие на Вердант. Живые сражались с мёртвыми; тела складывались в кучи, и воздух больше не был таким сладким.||||
bar17|Измученные болью и вечным холодом, мы, Вечные, не нуждаемся в комфортных вещах... так что те прекрасные деревянные здания сгнили, их заменили твёрдым камнем. Этот город больше не был Вердантом, и мы начали называть его Сепулькром. Имя прижилось.||||
p33|Короткую.||||
bar18|В наши дни Сепулькр — это не более чем аванпост для торговли и тому подобного. Большинство из нас, Вечных, живут в тех величественных мавзолеях вон там. А та большая башня, что возвышается над нами? Это Замок Ребер, где живёт Королева — но она не покидала его уже много лет.||||
p34|Эм, а насколько именно ((длинной)) будет длинная?||||
bar19|<<Он издаёт хриплый смешок, и кусочек плоти отлетает от его губы.>> ##Не волнуйся, дышащий. Я знаю, что мы, Вечные, можем ((теоретически)) говорить вечно, но я не буду убивать тебя скукой.||||
bar20|Итак, что ты выберешь? ||||
p34b|Знаешь что, неважно.||||
bar22|Без проблем, дышащий. Так что, ты хочешь узнать что-то ещё?||||
bar23|Ещё что-нибудь хочешь узнать? ||||
p35|Это всё, что я хотел спросить.||||
bar24|Хорошо. Тебе нужно что-то ещё?||||
p35a|Как жизнь в Сепулькре?||||
bar25|Хм. Ты имеешь в виду, как ((смерть))?||||
bar26|Ну, замок Королевы взорвался. Это довольно большое событие.||||
bar27|Люди говорят, что Погребённый пробудился. Другие говорят, что Перевозчик приносит истинную смерть. Всё, что я знаю, это то, что остров рушится, и мне это определённо не нравится.||||
bar28|Ну, эти ужасные землетрясения прекратились. Люди говорят, что Погребённый был побеждён в смертельной схватке, спасая королевство — или что-то в этом роде.||||
p35b|Что у тебя есть из напитков?||||
bar29|Неудивительно, что у нас полно [[Призрачного Вина]]. ##В последнее время мои посетители жаждут чего-то более традиционного, смертного. Если ты найдёшь какое-нибудь Риованское [[Вино]], я дам тебе хорошую цену за него. ||||
p36|Я пойду.||||
p39|Я ищу Герцогиню, ты её знаешь?||||
bar30|Герцогиня? Её трудно застать, эту одну. Немногие даже ((видели)) её с тех пор, как она вернулась из своих похождений с пиратами и наёмниками несколько лет назад. ||||
bar31|Ходят слухи, что она засела в своём старом семейном [[поместье]], которое находится на [[южной окраине]] Земель Вечных... ||||
bar32|Но удачи тебе договориться о визите. Она могущественный маг-шифровальщик, и у неё есть целый набор магических мер, чтобы остановить таких простолюдинов, как мы, от блужданий по её владениям.||||
p40|Я ищу Герцогиню.||||
shop21|Ах, да — все слышали о Герцогине! Только, я не думаю, что кто-то видел её в последние годы. Последнее, что я слышал, она летала с той безумной компанией дышащих — как они назывались? Тусклые Звёзды? ((Слабые Огни))...?||||
shop22|В любом случае, её семейное [[поместье]] находится на [[юге]]. Если ты ищешь её, я бы отправился туда — но я слышал, что это место кишит [[магическими скелетами]], так что будь осторожен. ||||
regret1|Я так и не вошёл в мавзолей. Когда я ещё дышал, так давно, я знал, что никогда не покину эти деревья. Воздух пах так... так... ##Ну, я больше не могу вспомнить, как пах воздух, но он, должно быть, был прекрасен. ||||
regret2|Так что я медлил, и мавзолеи заполнились. А дело в том, что быть Вечным — это боль, которая притупляет всё. Ангедония наступает, удовольствие утекает... и эти старые деревья теперь только насмехаются надо мной.||||
