NPC Name:|Paeguth||||
ID|Английский|Французский|Немецкий|Испанский|Итальянский
poly1|<<Она не поднимает глаз от бумаг.>> А, еще один верный подданный Союза Вероотступников. ## Должна напомнить: незапланированные встречи вроде этой не могут длиться дольше десяти тиков часов. ||||
poly2|Вы здесь, чтобы служить Союзу? Или это очередной спор о... <<она вздыхает>> скоте...?||||
polyp1|Я здесь по работе. ||||
polyp2|Расскажите мне еще раз о задании.||||
polyp3|Я хотел задать несколько вопросов.||||
polyp4|Вообще-то, кажется, я не в той комнате. До свидания.||||
polyp5|Я хочу служить Союзу Вероотступников.||||
poly3|<<По-прежнему глядя на бумаги, она отвечает монотонно и устало.>> ##Ах, да... вопросы. Конечно, мне приятно помочь... <<Она проверяет карманные часы>> но не дольше восьми тиков.||||
polyp6|Кто вы?||||
poly4|<<Она закрывает глаза и потирает виски.>> ##Раз уж у нас зашел этот разговор, я ((предполагаю)), вы знаете, что я — полимат Хэллоушира. Я ее назначенный представитель в Риове и слежу за соблюдением законов Союза.||||
poly5|Хэллоушир был практически беззаконным краем, пока пять лет назад мой совет не вступил в борьбу за регион. Но выборы мы выиграли с минимальными потерями, и я с гордостью скажу, что дела пошли куда лучше. ||||
polyp7|Минимальные потери?||||
poly6|Вы ведь знаете правила выборов? Кандидаты и их подчиненные советы состязаются в два этапа: битва и дебаты.||||
poly7|Ну а на последних выборах в Хэллоу сброд культистов-противников оказался не чета нашим боевым советникам. Так много их пало от наших мечей в постановочной битве, что к дебатам мало кто из уцелевших мог связать два слова.||||
poly8|<<Она позволяет себе улыбнуться>>. Куда им было тягаться с нашей философской риторикой, уж поверьте. ||||
polyp8|Ладно, понятно. ||||
poly9|Итак, это все ваши... вопросы?||||
polyp9|Что такое Союз Вероотступников?||||
poly10|<<Ее брови сдвигаются.>> ##Вижу, наши усилия по просвещению простого народа принесли... смешанные результаты.||||
poly11|Быть вероотступником — значит отвергнуть свою религию. Сорок лет назад земли Венны, Бьонна, Лунделя и Слева вышли победителями из Войны Богов, отвергнув Викканов и их богов.||||
poly12|Эти народы основали Союз Вероотступников, чьи подданные свободны от тирании богопоклонства.||||
polyp10|Что плохого в поклонении богам? ||||
poly13|После Мирового Разлома люди вновь попали в зависимость от богов. Но это жестокая сделка. У богов свои планы, и милостей они без жертвы взамен не даруют.||||
poly14|Более того, викканские ковены держали монополию на поклонение и колдовство. Договоры с богами заключались только через них. Заклинания утверждали тоже они. Они были столь же продажны, сколь и могущественны.||||
poly15|Полиматы великих университетов поняли: человечеству не вернуть былого величия, покуда оно приковано к богам. И потому они собрали могущественных союзников и разорвали свои гнилые цепи.||||
polyp11|Кто такие Викканы?||||
poly16|Викканы — оккультисты и заклинатели. В отличие от заклинаний Союза, что творятся в университетах и опираются на истинный язык, Викканы заключают связывающие договоры с богами ради силы.||||
polyp12|На этом все, пожалуй.||||
poly20|<<Она наконец смотрит на вас.>> А, подданный, готовый служить королевству. Отлично. ##Мы охотимся на бога, и нам пригодится любая помощь.||||
