cae|||||
ID|Английский|Французский|Французский|Немецкий|Итальянский
p1|Прощай.||||
p0|До свидания.||||
pq1|Могу я задать вам несколько вопросов?||||
pq2|Ладно, кажется, я понял.||||
pq3|Понял.||||
pq4|На самом деле, у меня есть другие вопросы.||||
pq5|Это всё, что я хотел узнать.||||
hc1|<<Устройство дёргается на неустойчивых ногах, густая кровь сочится из швов при каждом дрожащем движении.>>||||
hc2|<<Женский голос, хриплый и скрипучий, раздаётся изнутри устройства.>>##Ваша служба... ((требуется)), заключённый XVII.||||
p10|Это не моё имя.||||
hc3|<<Хриплый смех переходит в приступ кашля.>> ##Вы лишились... ((права)) на имя, когда предали... [[Союз Вероотступников]]. Номер — вот всё, чего вы заслуживаете. ||||
hc4|Но я предлагаю вам шанс на искупление. Возможность искупить... свои грязные преступления.||||
p11|Я не собираюсь выполнять приказы гроба.||||
p12|Эм... вам нужна помощь?||||
hc5|<<Хриплый смех переходит в приступ кашля.>> ##Этот железный гроб — честь, ((привилегия)). Боль, которую он доставляет... лишь оттачивает мой разум. ||||
hc6|Ваши низкие преступления против [[Союза Вероотступников]] не заслуживают... такой изысканной пытки. Но я могу предложить вам искупление... другого рода.||||
hc7|Я — [[Верховный Исповедник]] этого... [[Инквизиционного]] боевого трибунала. Мы выслеживаем самых опасных преступников. ##И ((вы))... поможете нам. ||||
p13|Как именно?||||
p14|Я ни за что не помогу Инквизиции.||||
hc8|<<Она хрипит.>> О, но вы ((пойдёте)). Ваш приговор... обязывает вас к воинской службе. Откажетесь — и вас подвергнут... ((неописуемым)) ужасам. ##А теперь... слушайте внимательно. ||||
p15|Что я получу за это? ||||
hc9|<<Она хрипит.>> Вам бы радоваться такой... ((праведной)) возможности искупить свои грехи. Но успех может принести и награду. Даже ((свободу.)). ##А теперь... слушайте внимательно.||||
hc10|Местоположение нашей цели известно... уже некоторое время. Захолустный архипелаг на самых окраинах... территории Союза.||||
hc11|Известные как [[Острова Грёз]], эти парящие острова... приютили всякого рода изгоев и негодяев. ##Мы высадились несколько часов назад, но встретили... яростное сопротивление.||||
hc12|Наша цель... находится в крепости [[Ослепляющий Свет]]; последнем оплоте [[Тёмных Звёзд...]] ||||
hc13|...наш трофей — их лидер, печально известная... [[Вела Каллос]].||||
p16|Полагаю, у меня нет выбора. ||||
p17|Никогда о ней не слышал. ||||
hc14|Она — дочь Адмирала Каллоса. Её готовили к командованию, но она пошла своей дорогой и сколотила банду... воров и пиратов. ||||
hc15|Тёмные Звёзды терпели в Союзе, пока Вела не увлеклась... манией величия. Утверждала, что может создать... что-то вроде ((рая)). ||||
hc16|((Вела Каллос?)) Это самоубийство! ||||
hc17|Не совсем. Да, наши агенты встретили... яростное сопротивление. Но мои дроны исчисляют шанс на успех... как один к трёмстам шестидесяти четырём. Это ((вполне)) возможно. ||||
hc18|Прежде чем вы отправитесь, возьмите этот [[Журнал Инквизиции]]. ## <<Механическая рука выдвигает в вашу сторону странное устройство.>>## Он будет отслеживать вашу миссию. ||||
hc19|Мои [[дроны]] могут предложить руководство. А ближе к Ослепляющему Свету, [[Инквизитор Игнавиус]] сможет оказать вам дальнейшую помощь. ||||
hc20|О, и... не вздумайте бежать. Эти [[парящие острова]]... ненадёжны, и не один дурак уже сорвался навстречу смерти.||||
coop1|<<Когда вы приближаетесь, Инквизитор глубоко вдыхает воздух.>> Чуете ((это)), Заключённый XVII?||||
p20|Эм... Машинное масло?||||
coop2|<<Он качает головой.>> Эти корабли Инквизиции работают на беззапаховой шифрованной магии; последнее слово техники от тех умников в [[Академии Эрудитов]].||||
coop3|Нет, я говорил о... <<он вдыхает.>> ((спорах грибов)).||||
p21|Эм... Дым сражения?||||
coop4|<<Он вдыхает ровно два раза.>> Полагаю, ((есть)) и это.||||
coop5|Но я говорил о... <<он вдыхает.>> ((спорах грибов)).||||
p22|Эм... Грибы?||||
coop6|<<Он щёлкает пальцами.>> ((Точно))!||||
coop7|<<Он поворачивается к вам с сияющей улыбкой.>> ##Я никогда не видел столько грибов в своей ((жизни.)). ||||
coop8|Такие широкие шляпки. Такие здоровые пластинки. <<Он делает долгий вдох.>> Ах, и такие ((мощные)) споры! ##У нас есть грибные леса дома в Лунделе, но ничего подобного.||||
coop9|<<Он помахивает пальцем в вашу сторону, продолжая смотреть на грибы.>> ##Заключённый XVII, если вы вернётесь живым, напомните мне взять партию [[Чая из скригриб]] для моей жены. Его делают здесь, на Островах Грёз, и я слышал, от него можно ((умереть)) — так он хорош.||||
p23|Эм, ладно.||||
coop10|<<Он хлопает вас по плечу.>> Это чертовски хорошо с вашей стороны, Заключённый. ##Ах, где мои манеры?||||
p24|Эм, нет.||||
coop11|<<Он хмурится.>> Знаете, вы правы, Заключённый. Мы даже не представились, а я уже прошу вас об услугах. Это было чертовски невежливо с моей стороны.||||
p25|Эм, кто вы?||||
coop12|<<Он хлопает себя по лбу.>> Ах, где мои манеры?||||
coop13|<<Он протягивает руку для приветствия.>> ##Инквизитор Игнавиус из Двенадцатого Инквизиционного Трибунала, рад познакомиться. ||||
p26|((Крепко пожмите его руку.))||||
coop14|<<Он сжимает вашу руку с такой же силой.>> Вижу, я в хорошей компании, Заключённый. ||||
p27|((Отшлёпните его руку.))||||
coop15|<<Он смеётся.>> Классический ((Слевианский Шлёпок)). Ну, сойдёт. ||||
p28|Что мы ((делаем)) здесь, Игнавиус?||||
coop16|<<Он отводит руку.>> Хмф, сразу к делу, а, Заключённый? Ну что ж.||||
coop17|<<Он указывает на крепость впереди.>> Это [[Ослепляющий Свет]] — крепость Велы Каллос, лидера наёмников Тёмных Звёзд. ||||
coop18|Верховный Исповедник сказал мне, что вы присоединитесь к штурму. И не раньше времени — нам нужна вся возможная помощь.||||
coop19|Я выслал всех своих агентов, но пока ни один не вернулся с докладом. Мы готовились к жаркой схватке, но эти головорезы из Тёмных Звёзд, похоже, оказались крепким орешком. ||||
coop20|Ваша задача — [[захватить Велу живой]]. Трудная задача, признаю — но я думаю, вы справитесь, Заключённый. ##Так что — есть вопросы?||||
p29|Как мне добраться до Ослепляющего Света?||||
coop21|Почему, видите ту огромную [[пушку]], нависающую над нами? Это часть крепости Ослепляющий Свет, и именно туда вам нужно попасть.||||
coop22|Просто войдите через главные ворота, не забывая убивать всех назойливых Тёмных Звёзд, которые встретятся на пути. Оказавшись внутри, найдите [[механизм подъёма]], который доставит вас на [[стены крепости]]. Именно там укрылась Вела. ||||
p30|Есть ли способ избежать кровопролития?||||
coop23|Ах, вы из ((скрытных)), да? Что ж, вам повезло. Мои агенты сообщили, что есть [[боковой вход]] справа от крепости, который ведёт в какой-то технический туннель. Уверен, Тёмные Звёзды расставили там множество [[ловушек]], но, конечно, ничего, что вы не смогли бы обезвредить ловкой рукой, а?||||
coop24|Оказавшись внутри, вы можете попытаться [[избежать обнаружения]], держась у стен. Эти старые форты времён Войны Богов полны укромных уголков, так что... <<он прикладывает палец к губам,>> будьте тихи и незаметны, хорошо? ||||
p31|Что, если я хочу попрактиковать свои боевые навыки?||||
coop25|Ах, ну, мы организовали небольшой учебный лагерь прямо здесь! Я всегда напоминаю своему боевому эшелону о базовых принципах перед сложной миссией, так что вы найдёте множество [[манекенов]] и [[учебных табличек]] чуть ниже.||||
p32|Мне нужно больше узнать о Веле и этой миссии.||||
coop26|<<Он кивает.>> Да, уверен, у вас много вопросов. Что вы хотите узнать?||||
p33|Ладно, пожалуй, я пойду.||||
coop27|<<Его улыбка сияет.>> Ах, вот это дух, Заключённый. Уверен, вы быстро разберётесь с этими негодяями.||||
coop28|И когда закончите, обязательно [[отчитайтесь передо мной]] после миссии. Я недавно заинтересовался этими Островами Грёз, и уверен, что смогу рассказать вам много [[полезного]].||||
coop29|<<Он ухмыляется.>> Инквизитор Игнавиус из Двенадцатого Инквизиционного Трибунала, рад познакомиться.||||
coop30|Как Второй Инквизитор этого трибунала, вы можете обращаться ко мне с любыми вопросами, которые могут быть слишком ((мелкими)) для внимания Верховного Исповедника. Вместе, я уверен, мы схватим эту негодяйку Велу в два счёта. ||||
coop31|<<Он глубоко вдыхает.>> А пока мы можем наслаждаться этим прекрасным пейзажем. Здесь такие ((мощные)) споры! Спорим, [[Чай из скригриб]] — от него можно ((умереть)), так он хорош.||||
