|HallowQuests||||
ID|Английский|Французский|Французский|Немецкий|Итальянский
p0|<<Ничего не говорить.>>||||
inq1-1|Ах, Заключённый XVII? Всё ещё в одном куске, как я вижу. Хорошо, хорошо.||||
inq1-2|Я Инквизитор Игнавиус. У меня есть предложение для вас, Заключённый XVII. Предложение, которое может оказаться взаимовыгодным.||||
inq1-3|Мне поручено задержать очень опасную личность. Но при штурме её крепости мои агенты столкнулись с небольшой заминкой...||||
inq1-4|...Они все мертвы.||||
inq1-5|Мои начальники не одобрят этот провал; меня накажут самым суровым образом. Но у меня, возможно, остался ещё один козырь, а?||||
inq1-6|Итак, подумав, я не уверен, что ваши преступления заслуживают такого сурового наказания, Заключённый XVII. Фактически, я освобожу вас, но при одном условии...||||
inq1-7|...вы должны задержать самого опасного преступника в Союзе Вероотступников: Велу Каллос. ||||
inq0-1|Ах, Заключённый XVII? Всё ещё в одном куске, как я вижу. Хорошо, хорошо.||||
inq0-2|||||
inq0-3|||||
inq0-4|||||
p1|Как я должен это сделать? ||||
p2|Я не собираюсь делать ни черта из того, что вы говорите.||||
inq1-8|Ну, вы, конечно, имеете право отказаться. Однако я должен предупредить вас, что из-за недосмотра вы уже триста дней как просрочили казнь через длительные пытки. Так что, возможно, вам стоит прислушаться к моему предложению.||||
inq1-9|Теперь слушайте. Вела Каллос — лидер наёмников Темной Звезды. Они печально известны тем, что помогают культистам и поклонникам богов.||||
inq1-10|Наш корабль пришвартован недалеко от их штаб-квартиры — старой крепости времён Войны Богов. Мои агенты начали штурм час назад, с... ограниченным успехом.||||
inq1-11|Просто следуйте по их следам и добейтесь успеха там, где они потерпели неудачу. Мои дроны будут давать вам советы, чтобы направлять вас на вашем пути. Итак... есть вопросы?||||
p3|Это чертовски самоубийственная миссия.||||
inq1-12|Вовсе нет! Многие из наёмников Темной Звезды были убиты во время штурма; осталась лишь горстка. ||||
inq1-13|Мои дроны подсчитали, что у вас один шанс из четырёхсот шестидесяти пяти на успех. Так что стоит попробовать, а?||||
p5|Кто такая Вела Каллос, собственно?||||
inq1-14|Она благородного происхождения, поверите ли. Наследница богатой военной семьи в Риове.||||
inq1-15|Её отец готовил её к командованию; но после смерти её матери и сестры она сбежала. Она начала проповедовать чушь о каком-то "рае" и сумела собрать вокруг себя банду воров и разбойников.||||
inq1-16|Они устроили немало шума на окраинах территории Союза, помогая и укрывая культистов и поклонников богов. Само собой, их нужно остановить.||||
p4|Я сделаю всё возможное. Прощайте. ||||
inq1-18|Очень хорошо. Я также даю вам один из наших журналов Инквизиции. Он создан с использованием передовой магии шифрования; страницы будут отслеживать ваш статус.||||
inq1-19|О, и ещё один совет — я бы не пытался сбежать. Это небольшой остров, и до дна... далеко. ||||
inq1-20|А, уже вернулись? Хотите, чтобы я напомнил вашу миссию?||||
p6|Да — что я должен делать, ещё раз?||||
p7|Не нужно, я уже в пути.||||
drone1|Заключённый XVII. Вам предоставлено временное освобождение. [[Верховный Исповедник]] ждёт вас в центральной камере.||||
drone2|Не заставляйте её ждать.||||
p8|Почему меня освобождают?||||
drone3|Только Верховный Исповедник может ответить на этот вопрос. Но я подсчитал, что есть восемь из десяти шансов, что вам будет предоставлена честь славной и освящающей смерти.||||
p9|Кто ты?||||
drone4|Я был заключённым, как и вы. Но Инквизиция, в своей щедрости, сделала меня чем-то большим.||||
drone5|Магия шифрования течёт в моих жилах. Мои грехи были очищены.##Теперь я слуга Инквизиции. ||||
p10|Тогда я пойду.||||
drone6|[[Повреждённые двери]] можно сломать с помощью оружия.||||
drone7|Рядом со мной находится [[Сундук]]. Поднимите [[меч]], затем нажмите [[Клавишу инвентаря]], чтобы открыть журнал.##Перейдите на [[панель снаряжения]] и экипируйте меч в один из слотов для оружия. ||||
drone8|Наконец, не забудьте нажать [[Клавишу атаки]], чтобы [[вытащить]] оружие.||||
drone9|Хотя это скромная задача, я подсчитал, что есть один шанс из двадцати, что вы каким-то образом погибнете при попытке.||||
drone10|Вам удалось сломать дверь. Похоже, тюремная камера не полностью разрушила ваш разум. Но помните, враждебные враги будут действительно атаковать в ответ, часто используя острые предметы.||||
drone11|Я подсчитал, что существует высокая вероятность того, что вы скоро умрёте. ||||
drone12|Дорога впереди патрулируется наёмниками [[Темной Звезды]].||||
drone13|Я настоятельно рекомендую [[скрытно]] пройти через грибы, чтобы [[избежать боя]].||||
drone14|Дело не в том, что я сомневаюсь в ваших навыках, Заключённый XVII. Я просто подсчитал, что есть три шанса из пяти, что вы умрёте ужасной смертью. ||||
drone15|Помните; прямого конфликта обычно можно избежать. Будьте начеку, чтобы [[пройти мимо сильных врагов]].||||
drone16|Наш агент умирает, но он всё ещё может быть полезен.##Возможно, вам придётся [[уговорить]] его, чтобы завоевать его доверие.||||
drone17|Агента, возможно, придётся уговаривать.##Вы были заключённым долгое время.||||
drone18|Я больше не чувствую запахов, но с высокой вероятностью вы издаёте зловоние.||||
drone19|Успех зависит от вашего [[Навыка Обаяния]], который определяется атрибутом [[Личность]].||||
droneBC1|[[Инквизитор Игнавиус]] ждёт вас в ближайшей [[Колонне Инквизиции]], Заключённый XVII. ##Мы настоятельно рекомендуем поговорить с ним, прежде чем отправиться на верную гибель. ||||
droneBC2|Этот [[базовый лагерь]] использовался нашими агентами Инквизиции как плацдарм.##Он был очень полезен для них, чтобы [[освежить свои навыки]], прежде чем они все отправились и были перебиты наёмниками Велы. ||||
droneBC3|Мы рекомендуем использовать [[тренировочные манекены]], чтобы попрактиковаться в фехтовании; это может немного увеличить время между сейчас и вашей неминуемой гибелью. ||||
droneBC4|Ищете [[Инквизитора Игнавиуса]]? Он переехал в крепость Ослепляющего Света; вы можете найти его рядом с Верховным Исповедником. ||||
agent1|Вы из местных? <<Он смотрит на вас с отвращением>>.##Слушайте, просто оставьте меня в покое. Я подвёл Инквизицию. Я предпочитаю умереть в мире.||||
p11|@@ Я здесь, чтобы помочь. Ваш Инквизитор поручил мне захватить Велу Каллос.||||
agent2|%%<<Он издаёт усталый смешок, переходящий в кашель>>.||||
agent3|О боже, теперь я вас узнаю. Вы один из заключённых. Боги, Инквизитор, должно быть, действительно отчаялся.||||
agent4|Вы знаете, что умрёте, да? Эти ублюдки уничтожили весь наш эшелон.||||
agent5|Если вы настаиваете на этом глупом поручении, вы можете найти припасы в моём разбитом десантном модуле.##Идите вверх по течению реки, и вы найдёте его у водопада.||||
agent6|&&Вы приходите ко мне в лохмотьях, утверждая, что работаете на Инквизицию? Не смешите меня.||||
agent7|Слушайте, просто оставьте меня в покое. Я подвёл Инквизицию. Я предпочитаю умереть в мире.||||
p12|Хорошо, я... оставлю вас в покое.||||
drone20|Чтобы продолжить, вы должны открыть эту дверь. Вам понадобится [[Отмычка]], чтобы начать. Вы найдёте достаточный запас рядом со мной. ||||
drone21|При взломе замка всегда есть шанс, что вы потерпите неудачу, и отмычка сломается. Чтобы легче взламывать замки, повышайте свой [[Навык Взлома]].||||
drone22|Механические замки — не единственная мера безопасности, с которой вы столкнётесь.##Есть искусство скрывать секреты с помощью магических средств.||||
drone23|В этой комнате [[подсвечники]] на стене были зачарованы, чтобы запечатать секретный проход.##Чтобы развеять их, вам понадобится достаточный уровень [[Навыка Знаний]].||||
drone24|Заклинание также немного истощит вашу [[Маны]].||||
drone25|Один проход может требовать нескольких переключателей, так что всегда будьте внимательны к своему окружению.||||
drone26|За наши жалкие жизни люди накапливают верования... и заблуждения. Когда человек умирает, иногда частичка того, кем он был, остаётся на некоторое время.||||
drone27|Этот эфирный череп — [[Мерцание Заблуждения]].##Соберите достаточно, и вы получите полное [[Заблуждение]], которое позволит вам повысить [[Основной Атрибут]].||||
drone28|Вы также можете развить свои собственные Заблуждения, выполняя квесты и преодолевая испытания.||||
drone29|Видите [[башню]] на скале? Именно там в последний раз видели [[Велу Каллос]].##Доберитесь до этой башни и противостойте ей. Не медлите!||||
drone30|Куда вы направляетесь, Заключённый XVII? Вы пытаетесь убежать от своего долга? ##Если вам ((необходимо)) восстановиться, [[лифт]] рядом со мной доставит вас обратно в [[лагерь Инквизиции...]]||||
drone31|Но Вела всё ещё в крепости, и мы настоятельно рекомендуем вам [[вернуться внутрь]] и найти способ добраться до [[бастионов, наверху.]]||||
drone32|В этом доме вы найдёте [[кровать]] и [[Кристальную Точку]]. Вам следует воспользоваться обеими.||||
