Dialogues:|Clockwork||||
ID|Английский|Французский|Французский|Немецкий  |Итальянский
p1|Прощай.||||
p0|До свидания.||||
pq1|Могу я задать вам несколько вопросов?||||
pq2|Ладно, кажется, я понял.||||
pq3|Понял.||||
pq4|Вообще-то, у меня были другие вопросы.||||
pq5|Это все, что я хотел узнать.||||
lludd1|<<Юноша смотрит на вас с осторожностью; широкие глаза на исхудавшем лице.>> О, новичок! Э-э, д-д-добро пожаловать в [[Деревню Пвилл]]. Меня зовут Ллудд. Вы... эм... были замешаны во всей этой ((суматохе)) у старого форта? ||||
p10|Конечно. Я убил больше людей, чем ты можешь сосчитать.||||
lludd2|<<Молодой человек открывает рот, пытаясь подобрать слова.>> ##О боже. Ох. Полагаю, там было... эм... <<Он сглатывает.>> ...много крови и всего такого? ||||
p11|Да, конечно, там была чертовски ((кровь)). ||||
lludd3|<<Он явно вздрагивает.>> Ах. Да. Конечно. Я так и думал. ##<<Он оглядывается, как будто ищет, что сказать.>> Я упоминал... что наш город называется [[Пвилл]]? ||||
p12|Нет, я убил их резкими словами.||||
lludd4|<<Он быстро кивает, как будто это совершенно разумное заявление.>> Ах. Да. Конечно. ##<<Он оглядывается, как будто ищет, что сказать.>> Я упоминал... что наш город называется [[Пвилл]]? ||||
p13|Ты в порядке? Ты выглядишь очень бледным. ||||
lludd5|<<Он быстро кивает, но кажется, что он стал еще бледнее с тех пор, как вы начали говорить.>> Эм, я в порядке, спасибо. Вы... хотели узнать о [[Пвилл]]?||||
p14|Я агент Инквизиции - охочусь на преступников из Союза Вероотступников. ||||
lludd6|<<Он дрожит и осматривает вас с ног до головы.>> О! Простите, я не понял. Вы не очень ((похожи)) на одного из тех агентов - вы, должно быть... ((под прикрытием)), верно? <<он шепчет,>>  ##Ну, если это поможет... я мог бы рассказать вам о нашем г-г-городе? ||||
p15|Я просто проездом; я не доставлю вам никаких хлопот. ||||
lludd7|<<Плечи мальчика расслабляются, и он выглядит искренне облегченным.>> О, хорошо. Я могу рассказать вам немного о нашем городе, если хотите? ||||
lludd8|Мы всего лишь скромная деревня. <<Он сглатывает.>> Вы слышали о [[скригрибе]]? Это гриб, который показывает вам б-б-будущее. Мы выращиваем его и продаем. Только... эм... в последнее время дела идут не очень хорошо. Люди беспокоятся.||||
p16|Что именно идет не так? ||||
lludd9|Ну, урожай... плохой. С каждым годом мы собираем все меньше скригрибов. ##<<Он почесывает голову.>> Некоторые люди начинают беспокоиться...||||
lludd10|<<Он оглядывается, затем наклоняется ближе.>> Я слышал, что некоторые люди рассматривают ((старые пути)). ##<<Его глаза буквально вылезают из орбит.>> Знаете, общение с ((Викканами)) и ((богами))? ||||
p17|Это очень глупо с их стороны.||||
lludd11|<<Мальчик яростно кивает.>> Конечно. Очень незаконно! Но также вроде как ((захватывающе)), не так ли? ##<<Кажется, он сожалеет о своем выборе слов.>> О, эм, я просто имею в виду - здесь иногда очень ((скучно))... ||||
p19|Ну и что? ||||
lludd12|Ну, мы часть Союза Вероотступников, понимаете? Поэтому поклонение богам очень... ((незаконно)). <<Он сглатывает.>>||||
p20|Вообще-то, забудь.||||
lludd13|<<Он выглядит нервным.>> О, я опять разболтался, да? Вы хотели узнать что-то еще?||||
lludd14|В любом случае, [[местный весовщик Кулвич]] сильно напуган всем этим. Он взвешивает всех, кто проходит мимо, просто чтобы убедиться, что они не Викканы. ||||
lludd15|Но моя мать [[Олвен]] - о, эм, она, кстати, мэр - кажется, не слишком обеспокоена всем этим. Она гораздо больше беспокоится о чем-то другом. Я слышал, как она в последнее время бормотала о [[каком-то монстре]]...||||
lludd16|<<Он моргает.>> О, простите, я опять разболтался, да? Есть ли... что-то, что вы хотели бы узнать?||||
p21|Можешь показать мне город?||||
lludd17|О, эм, полагаю, могу. <<Он жестом указывает за себя.>> В городе вы найдете [[весовой дом]]. Весовщик К-К-Кулвич, он довольно уважаем здесь. Рядом находится [[Компания Скригрибов]], которая, конечно, продает скригрибы. И, эм, другие вещи. ||||
lludd18|Дальше вверх по холму находится [[дом мэра]]. Там живет моя мать - эм, то есть ((мэр)). У нее иногда есть работа. ##А еще дальше вверх находится старый [[священный гриб]]. Только, эм, он мертв. ||||
p22|Что делает весовщик?||||
lludd19|О, Кулвич? Он довольно важный. Он ездил в Риову - столицу Союза Вероотступников, это ((очень)) далеко - чтобы получить сертификат весовщика.||||
lludd20|Он взвешивает товары для торговцев и покупателей, чтобы убедиться, что цена справедлива. Может показаться, что это не так уж важно, но для такого маленького городка, как наш, это означает, что мы можем торговать с такими местами, как Вена, Бьонн и Л-Л-Лундель.||||
lludd21|<<Он наклоняется ближе, глаза широко раскрыты.>> Но он также взвешивает ((людей)). В последнее время он очень беспокоится о [[симпатизантах Викканов]], и у него есть магические шифрованные весы, которые могут ((определить)), если вы ((злы)).||||
lludd22|<<Он выглядит смущенным.>> Меня-то он не взвешивал. Видать, не считает меня д-д-достаточно опасным для преступника. ||||
p23|Расскажи мне о Компании Скригрибов.||||
lludd23|Ну, ею управляет Двинн, чья семья выращивает скригрибы уже несколько поколений. Без его компании город бы, по сути, не существовал, грибы - это практически все, что есть вокруг. ||||
lludd24|Мать не позволяет мне пить чай из скригрибов, хотя ((она)) сама пьет его постоянно. Она говорит, что это слишком интенсивно. Что нужно быть ответственным взрослым, чтобы видеть будущее.||||
lludd25|Хотя я не понимаю, чего тут такого. Ей в основном просто мерещится сад побольше. ||||
p24|Так твоя мать - мэр?||||
lludd26|<<Он кивает.>> Не всем она нравится, потому что она приехала из далекого Лунделя. Это далекое место с замками и ветреными пустошами, в сердце Союза. ||||
lludd27|Я родился здесь, так что никогда там не был. <<Он шмыгает носом.>> ||||
p25|Почему Священный Гриб мертв?||||
lludd28|О! Ну, это потому, что Кулвич убил нашего бога, конечно. ||||
p26|Конечно. ||||
lludd29|<<Он кивает.>>||||
p27|Эм, не мог бы ты уточнить?||||
lludd30|О, эм, простите, я забыл, что не все знают об этом! <<Он слабо усмехается.>> ##Нашего старого бога звали Аэнгуин, и был он очень злой. Он хотел, чтобы люди приносили себя в жертву у Священных Грибов, чтобы скригрибы хорошо росли. ||||
lludd31|Так что во время Войны Богов Кулвич и несколько других отправились на огромном кардованском воздушном корабле и пронзили Аэнгуина копьем в глаз. Поскольку он был частью Священного Гриба на холме, гриб умер вместе с ним.||||
lludd32|<<Он шмыгает носом.>> Но именно поэтому урожаи плохие. На самом деле, единственная причина, по которой у нас вообще были скригрибы, - это наш бог. Остался только один Священный Гриб, и если он исчезнет, мы... ну... ((мне не разрешено использовать это слово.))||||
p28|Это все, что я хотел знать.||||
lludd33|<<Он кивает.>> Надеюсь, я не слишком много б-б-болтал. ||||
p29|Мне пора идти, малыш. ||||
lludd34|О, эм, конечно. П-п-пока. ||||
lludd35|О, снова здравствуйте. Вы хотели, чтобы я п-п-показал вам Пвилл? Или... я не думаю... вы здесь, чтобы помочь с нашими проблемами? ||||
lludd36|О, снова здравствуйте. Было ли что-то, что вы хотели спросить?||||
p30|Ты знаешь что-нибудь об этих симпатизантах Викканов? ||||
lludd37|<<Ллудд внезапно бледнеет.>> О, вы имеете в виду людей, которые ((общаются)) с ((поклонением богам))? ##<<Капля пота скатывается по его лицу.>> Г-г-говорят, что это ((преступление)), верно? Что вас могут запереть навсегда?||||
lludd38|<<Он качает головой.>> Мне жаль, но я ничего об этом не знаю. Вы могли бы попробовать спросить [[Нудда]], который обычно находится в [[Доме Компании Скригрибов]]. Он раньше был наемником и все такое. Уверен, он знает о таких вещах. ||||
lludd50|<<Тошнотворный запах желчи наполняет плото-камеру. Перед вами огромный пищеварительный тракт пульсирует и бьется, наполненный едкой кислотой. ##Кажется, у этого гриба есть ((органы.))>>||||
lludd51|<<Ллудд корчится за пищеварительной мембраной, явно в агонии. Когда он видит вас, он выглядит шокированным.>> ##Э-э-это ты! ||||
p41|Нам нужно вытащить тебя оттуда.||||
lludd52|((Нет))! <<На лице Ллудда появляется решимость.>> Если я не ((сделаю)) этого, деревня п-п-погибнет! ||||
lludd53|И если ты освободишь меня, ты разрежешь органы гриба. Ты можешь [[убить его]]!||||
p42|Но ты ((умрешь)).||||
lludd54|Д-д-думаешь, я ((не знаю)) этого? ||||
p43|Как знаешь. ||||
lludd55|Даже ((т-т-ты)) не воспринимаешь меня всерьез! ||||
p44|Кто это с тобой сделал? ||||
lludd56|((Никто))! <<На лице Ллудда появляется решимость.>> ||||
lludd57|Все думают, что я просто какой-то глупый р-р-ребенок. Просто бестолковый сын мэра. Они не воспринимают меня ((всерьез))! ##Но теперь я могу показать, что я чего-то стою. Я могу ((спасти)) деревню, совсем один. ||||
lludd58|Я нашел старые Викканские ритуалы-контракты, спрятанные в подвале моей матери. Я убедил Эмира помочь мне все устроить, но это ((я)) шептал Аэнгуину и чувствовал, как его ответ эхом отдаётся в моих к-к-костях.||||
p45|Деревня не стоит того, чтобы ((умирать)) за нее, малыш. ||||
lludd59|С-с-сказал ((кто))? Кулвич всегда говорит о своих боевых товарищах, которые погибли, чтобы освободить Пвилл. Но ч-ч-чем это отличается от этого? Просто потому, что мы не на ((войне))?||||
p46|Я вытащу тебя оттуда, нравится тебе это или нет. ||||
lludd60|Н-н-никто не позволяет мне принимать свои собственные ((решения)). Я планировал это м-м-месяцами! Это мой выбор! ||||
p47|Я восхищаюсь твоей смелостью, по крайней мере.||||
lludd61|Пвилл ((умирает)). Все так говорят. С тех пор, как Аэнгуин был убит, почва в-в-высыхает. Через поколение здесь ничего не останется. Это ((единственный)) способ спасти деревню. ||||
p48|Некоторые города умирают, так уж устроен мир. ||||
lludd62|Тебе легко говорить, ты не отсюда. Пвилл - единственное место, которое я когда-либо знал. Я не ((выживу)) больше нигде. ||||
p49|@@ Ты этого не знаешь. Небесные Земли полны невозможных мест, которые превосходят твои ((самые смелые)) мечты. ||||
lludd63|&& Мне все равно на другие места. У меня только один дом, и это ((Пвилл)). ||||
lludd64|%% <<Он шмыгает носом.>> Я однажды попробовал чай из скригрибов, пока моя мать была в отъезде. Я видел... я видел себя на корабле, летящем через стаю небесных рыб, их чешуя переливалась всеми цветами радуги...||||
lludd65|Мать всегда говорит, что видения могут быть ((ошибочными)). Поэтому я думал, что это ((было)) так. Но, может быть... может быть, это могло быть правдой?||||
lludd66|Ладно. ((Шмыг.)) Я вернусь, тогда.||||
