NPC Name:|Shops||||
ID|Английский|Французский|Немецкий|Испанский|Итальянский
p1|До свидания.||||
p2|Мне не помешала бы ваша помощь. Пойдёте за мной?||||
p3|@@Только один раз. Вы не пожалеете. ||||
p4|Ладно, я пошёл.||||
p5|Хорошо, можете больше не идти за мной.||||
p6|||||
p7|||||
p8|||||
p9|||||
union1|Хмф, наслышан о вас. Гнилой проходимец. Ну-ка, проваливайте отсюда.||||
union2|Вы хотите, чтобы я пошёл за вами в бой? Вы, должно быть, шутите. Я бы за вами даже в пивную не пошёл.||||
union3|Приветствую, крестьянин. Сегодня Союз Вероотступников сияет над нами.||||
union4|Простите, друг, я не могу предложить свой меч кому попало. Только тем, кто чего-то стоит в Союзе.||||
union5|%%Хм, ну, думаю, это не повредит... ((только)) один раз. Ведите.||||
union6|&&Простите, правила есть правила. А теперь проваливайте.||||
union7|А, я слышал о вас. Вы делаете великие дела в Хэллоушире, должен сказать.||||
union8|Если намечается заварушка, поверю вам на слово. Ведите.||||
union9|Что ж, похоже, дело сделано.||||
outlaw1|Эй, ты тот самый гадёныш, а? Ну так иди нахрен отсюда.||||
outlaw2|Я бы скорее пырнул тебя ножом в брюхо. Так что вали, пока я так и не сделал.||||
outlaw3|Хмф. Не о чем мне болтать с такими, как ты.||||
outlaw4|Думаешь, я стану выполнять приказы такого, как ты? Давай, вали отсюда.||||
outlaw5|%%Ну, раз дело пахнет добычей, гляну, пожалуй, что к чему.||||
outlaw6|&&Я бы скорее пырнул тебя ножом в брюхо. Так что вали, пока я так и не сделал.||||
outlaw7|Эй, наслышан о тебе. А ты ничего, знаешь?||||
outlaw8|Ага, ну, если намечается дельце, своё я уж точно урву.||||
outlaw9|Ладно. Весело было, чё уж там.||||
wikkan1|Мы наслышаны о вас. Вы совершили тяжкие злодеяния против нашего ковена. Более я не скажу об этом ни слова.||||
wikkan2|Одним движением запястья я наполню ваши глазницы личинками. Не докучайте мне более.||||
wikkan3|Я — адепт Викканского Ковена Червя. Простите, незнакомец, если не задержусь подле вас; многое занимает мои мысли.||||
wikkan4|Боюсь, я не могу предложить свою помощь кому попало. Надеюсь, вы понимаете.||||
wikkan5|%%Мой внутренний червь шепчет, что ваши слова имеют вес. Очень хорошо. Я составлю вам компанию.||||
wikkan6|&&Мой внутренний червь велит не доверять вам. А теперь ступайте прочь.||||
wikkan7|А, я наслышан о вас. Вы сослужили великую службу Пигуту; и за это я навеки перед вами в долгу.||||
wikkan8|Я с радостью помогу вам, друг.||||
wikkan9|Очень хорошо. Надеюсь, от меня была польза.||||
wikkan10|Приветствую, путешественник. ##Не видели ли вы здесь колючих [[божественных раковин]]? Я собираю драгоценных [[божественных существ]], что обитают внутри.||||
p21|У меня есть божественные существа на продажу. ||||
wikkan11|Прекрасно. За каждое божественное существо, которое вы мне дадите, [[Викканский Ковен Червя]] окажет вам благосклонность.||||
p22|Вот одно божественное существо.||||
p23|Вот пять божественных существ. ||||
p24|Возьмите все божественные существа, что у меня есть.||||
