NPC Name:|HallowQuests||||
ID|Английский|Французский|Немецкий|Испанский|Итальянский
ino0|Я рассчитываю на тебя.||||
ino1|<<Яркие глаза блестят на чумазом лице. Девушка ловит твой взгляд.>> ##Эй, не выручишь девчонку, а?||||
pq1|Прощай.||||
p1|В чем проблема?||||
p2|Извини, мне нужно идти.||||
ino2|<<Она вытирает пот со лба>>. ##Мне надо доставить эти шелка из Бьонна моему человеку в "Шаткую Башку". Но пока я их сюда тащила, башка совсем разболелась. ##<<Она улыбается тебе.>>||||
p3|Хорошо, я с радостью помогу.||||
p4|Я сделаю доставку... за долю от прибыли. ||||
p5|Нет, спасибо, ты сама справишься.||||
ino3|О, это замечательно! Я тебе обязана, правда. ||||
ino4|<<Она передает тебе деревянный ящик.>> ##Просто спроси Бардольфа. Обычно он в маленькой комнате... если его не выгнали. ##<<Она подмигивает.>>||||
ino5|Ты знаешь дорогу до "Шаткой Башки"?||||
p6|Я спрошу у стража, если заблужусь. ||||
ino6|<<Ты замечаешь легкую гримасу.>> Правда, в этом нет нужды. Это таверна с гигантским черепом, сразу за мостом. Ты не пропустишь.||||
p7|Да, я знаю дорогу. Прощай. ||||
ino7|<<Ее улыбка слегка меркнет.>> ##Конечно, это справедливо. Ты получишь оплату.||||
ino8|О, снова ты. <<Она сияет.>> ##У меня ещё есть, что отвезти в "Шаткую Башку". Не выручишь девчонку?||||
gd0|Стой. <<Он смотрит на твой ящик.>> ##Что у тебя там?||||
p8|Я делаю доставку для друга.||||
gd1|<<Он усмехается.>> Слыхал я это, и не раз. У нас тут, в Хэллоу, беда с контрабандистами, ясно? Уйма незаконного товара уплывает сквозь сети. Так что спрошу ещё разок. Что в ящике?||||
p9|@@Шелка Бьонна. Мой друг — уважаемый портной, и эта доставка срочная. ||||
gd2|%%Ладно, ладно, я просто обязан спросить. Продолжай свой путь. ||||
gd3|&&Конечно, и я герцог Лунделя. Давай заглянем внутрь. ||||
p10|Мне сказали, что это шелка, но я не заглядывал.||||
gd4|Шелка, как же — нихрена там шелков. Ну-ка глянем.||||
p11|Ящик мой. Отвали. ||||
p12|Занимайся своим делом. ||||
gd5|Борзый, да? Ну уж нет, не пройдёт. Давай сюда ящик.||||
gd6|Конечно, и я герцог Лунделя. Давай заглянем внутрь. ||||
gd7|<<Он открывает ящик. Извивающееся существо с щупальцами смотрит на тебя множеством глаз.>> ##Ага, это [[тифос]]. Мерзкая тварь из [[Лунделя]], из неё делают яды.||||
gd8|<<Он берет деньги и вздыхает.>> ##Слушай, на этот раз только предупреждаю. Но мы за тобой приглядываем — в следующий раз загремишь в камеру.||||
p13|Это шелка из Бьонна.||||
gd9|Ладно, ладно, я просто обязан спросить. Много контрабандистов в Хэллоу, понимаешь. Продолжай свой путь.||||
gd10|И что бродяга вроде тебя делает с такой штукой, а?##Уж поверь, [[инквизиторы]] миндальничать не станут. К концу недели будешь болтаться на виселице.||||
p_gd1|Меня подставили! Я не знал, что в ящике!||||
gd11|<<Он закатывает глаза.>>##Не утруждайся. Ты так и так увяз в паутине.||||
p_gd2|Может, [[5 монет]] изменят твое мнение?||||
p_gd3|Может, [[20 монет]] изменят твое мнение?||||
gd12|<<Услышав щедрое предложение, он оживляется.>>##Да, пожалуй, и впрямь изменят.||||
gd13|Хм. Сделай [[10 монет]], и я подумаю.||||
p_gd4|[[10 монет]] звучит справедливо.||||
p_gd5|Я отказываюсь!||||
p_gd6|Пожалуйста, бери что хочешь, только отпусти меня.||||
gd14|<<Ты быстро понимаешь, что золота у тебя не столько, сколько ты посулил...>>||||
gd15|Жалкое зрелище. Таких, как ты — бродяг, преступников, язычников — четвертовать надо.||||
gd16|<<Молча он выгребает из твоего мешка всё ценное.>>##А теперь слушай. Настроение у меня доброе, так что отпущу тебя. Но ящик останется у меня.||||
gd17|<<После обмена денег он возвращает тебе ящик с кивком.>>##Продолжай свой путь.||||
gd18|И, боюсь, я оставлю твоего маленького "питомца" здесь.##<<Он указывает на ящик, который внезапно дергается, как будто в ответ.>>||||
p_gd7|@@Я агент Инквизиции. Уступи дорогу.||||
gd19|%%<<Ты вкратце рассказываешь ему о своём задании.>>##Ого! Инквизиция поручила тебе охоту на саму [[Королеву Небесных Пиратов]]? Это невероятно! ...Прошу, не смею тебя задерживать!||||
gd20|&&Хватит театральности. Ты испытываешь мое терпение.||||
bar1|<<Мужчина криво, желтозубо ухмыляется.>> ##Зовут Бардольф. Что-то я тебя не припомню, дружище. Так что коли дела ко мне нет — советую топать дальше.||||
p20|Меня попросили доставить шелка Бьонна тебе. ||||
bar2|А! Свежий рекрут Инноген, да? ##<<Его ухмылка растягивается; зубы — что битое стекло.>> ##Так бы сразу и сказал.||||
p21|Она не назвала своего имени.  ||||
bar3|И испортить весь её загадочный флёр? Само собой, нет. Это не в её духе.||||
p22|Вот твоя доставка.||||
bar4|<<Он приоткрывает ящик. Наружу вырывается клубок щупалец — и он тут же захлопывает крышку.>> ##Ага! Шелка что надо, право слово. Одному счастливчику-вельможе будет в них очень... уютно.||||
p23|Подожди, что это было? ||||
bar5|<<Лицо его вмиг наливается злобой.>> ##Ты сам сказал, дружище. Шелка из Бьонна.||||
p24|Рад быть полезным.||||
bar6|Вот это мне по душе. А ты ничего, знаешь.||||
p25|Твой товар был конфискован. Инноген не упомянула, что шелка были... разумными. ||||
bar7|<<Он заходится хриплым, сиплым смехом.>> ##Эх, поглядеть бы на рожу того стража! Инноген взбесится, что упустила навар, ну да мне-то что с того. Зато ты показал, что готов на дело.||||
bar10|Слушай, такие, как ты, нам всегда нужны. Хочешь ещё работы — спустись в трущобы, за доки. Высматривай бюст скелета в одном из домов.||||
bar11|Дёрни за него. Откроется проход в "Потерянный Кошелёк". Найди там Инноген — у неё будет для тебя работёнка.||||
p26|Инноген упомянула что-то об оплате?||||
bar12|Зная её, готов спорить, что не она первой об этом заикнулась, а?||||
bar13|Ну да ладно, вот тебе пара монет за труды.||||
bar0|Проваливай.||||
p27|Спасибо, Бардольф.||||
p28|Меня чуть не арестовали из-за твоего ядовитого щупальцевого груза.||||
p29|Пока, "друг". ||||
ino10|<<Это та же девушка с доков, но ее дружелюбное выражение исчезло. Она смотрит на тебя холодным взглядом.>>||||
p30|Инноген, верно? Бардольф сказал, что у тебя будет для меня работа.||||
ino11|Доставил, значит? Неплохо. Когда ты с этим уходил, я была уверена, что к концу дня будешь гнить в тюрьме. Эти штуки и правда вне закона, знаешь ли.||||
ino12|А наглости тебе не занимать. Ты хоть представляешь, сколько стоил тот тифос? Его контрабандой везли с ядовитых болот Лунделя, а ты взял и отдал его стражнику.||||
ino13|И ты ещё работы просишь? Да я тебя прямо тут выпотрошить готова!||||
p31|Было бы полезно, если бы ты сказала, что внутри.||||
ino14|Ты и впрямь идиот, да? Ящик чертовски извивался. И с каких пор шелка воняют тухлятиной?||||
p32|В этот раз я сделаю все правильно.||||
ino15|Уж постарайся. Ради собственного же блага.||||
ino16|И заруби на носу — будь моя воля, валялся бы ты сейчас в канаве. Но командует Бардольф, так что, видать, работа для тебя найдётся.||||
p33|Это был никакой не шёлк. Эта тварь могла меня убить!||||
ino17|Ты и впрямь идиот, да? Ящик чертовски извивался. И с каких пор шелка воняют тухлятиной?||||
ino18|Ну да ладно. Бардольф велел подкинуть тебе ещё работёнку, так что обращайся, как будешь готов.||||
ino19|Ну да ладно. Бардольф велел подкинуть тебе ещё работёнку, так что слушай.||||
ino20|В общем, есть один богатый торговец, Вернон Бервиг. Заправляет гильдией крылатых торговцев и живёт на шикарной улице в Хэллоу. Он собирает диковинные артефакты, и наш заказчик хочет заполучить один из них.||||
ino21|Я уже подослала человека разведать его дом. Внизу есть комната, запертая с той стороны. Артефакт наверняка там, но отмычкой не обойтись.||||
ino22|Стало быть, должен быть тайный ход в дом Вернона Бервига, ведущий в ту комнату. Найди потайной вход, добудь диковинный артефакт. Проще простого, да?||||
ino23|Ого, ты и вправду выкрал артефакт из дома Бервига? Признаю, я впечатлена. А ведь была уверена, что ты сдашься.||||
ino24|Заказчик будет очень доволен. Ты честно заработал свою плату, и даже сверх того.||||
king1|<<Мужчина прищуривается на тебя.>> ##А, ты был здесь раньше, да? Я тебя помню.||||
king2|<<Мужчина резко просыпается от дремоты. Хотя он не стар, его глаза выдают усталость.>> ##...Орбайт, это ты? ##Ох, прости, незнакомец. Должно быть, я снова задремал и грезил. Похоже, в эти дни я только этим и занят.||||
king3|Сейчас, дай-ка я... ох, проклятье, проклятье. Где же он?||||
king4|Мой дневник снов — я опять его потерял. Видать, обронил, когда удирал от тех гоблинов в горах. Слушай, раз уж ты бродишь в этих краях, не присмотришь за ним?||||
pKing1|Что там у тебя с дневником?||||
king5|Да, да — потерял свой дневник снов. Думаю, обронил где-то у гоблинов, что засели в горах к востоку отсюда. ##Минуй крепость и высматривай озеро; потом ступай вверх по реке. Там ты их и найдёшь.||||
king6|Я приметил, что по ночам они порой уходят. Если хочешь обойтись без драки — приляг отдохнуть в моей постели. Подойди, когда нейронная звезда пойдёт на убыль, и их, глядишь, уже не будет.||||
pKing2|Я нашёл твой дневник.||||
king7|<<Он взволнованно листает страницы.>> ##Да, всё здесь — Орбайт. Война. Эпоха машин. Прошу, возьми вот это, вместе с моей искренней благодарностью.||||
pKing3|Могу я спросить кое-что?||||
king8|Попытаться можешь, но в последнее время всё ускользает из памяти — да и старые кости уже не унесут меня далеко.||||
king9|Ты слышал о Веле Каллос? ||||
king10|Вела, Вела... А, ты про ту молодую предводительницу? Что верховодит отрядом наёмников в старой крепости?||||
king11|Я малость переживал, когда они заняли то место. Думал, наделают бед — но, по правде, кроме шума, от них никакого беспокойства.||||
king12|Эта Вела даже как-то меня навестила. Посидела, послушала про мои сны, оставила немного еды. Милая, кажется, девушка.||||
pKing4|Твои кости не выглядят ((такими)) старыми.||||
king13|<<Он тихо смеётся.>> Ах, да, мне многие это говорят. По правде, я и не помню, сколько мне лет. Разум мой затуманен, воспоминания скрыты в дымке.||||
king14|А вот сны мои? Они яркие. Мне снится дочь, Орбайт — и страшная война. Я веду дневник в надежде отделить правду ото сна.||||
pKing5|Что ты можешь рассказать об этих островах?||||
king15|Хм. Это Острова Грёз, но сам я не здешний. Дай-ка подумать... нас облетает маленькая красная нейронная звезда, хотя ты, верно, уже и сам заметил. ##Ах да — в последнее время все только и судачат о каком-то Союзе Вероотступников.||||
king16|Союз, сколько я знаю, отрёкся от своих богов — и даже пошёл на них войной. Они объявили эти острова своими, но не все согласны с их вероотступничеством. Многие не отрекутся от веры.||||
king17|Это мне напомнило... кажется, я когда-то знавал бога. Или... то был лишь сон?||||
pKing6|Прощай.||||
vil1|Хм. Путешественники к нам нынче редко заглядывают. Послушай моего совета — не задерживался бы я тут. Что-то здесь... неладно.||||
vil2|Полдеревни выкосила чума, давненько уже. С тех пор народ сам не свой.||||
p40|Что ты имеешь в виду, странно? ||||
vil3|Странно — значит странно. Людям начало слышаться всякое. Начало ((мерещиться)). А некоторые даже стали... ((меняться)). Большинство уехало насовсем.||||
p41|Кто живет в том замке, наверху?||||
vil4|Это герцог. Прежде был достойным человеком — но после чумы его видели по ночам: бродит один в полном доспехе и воет, будто зверь. Год назад он заперся в замке, и с тех пор о нём ни слуху ни духу.||||
p42|Спасибо. Прощай.||||
vil10|<<Глаза жителя широко раскрыты, пока он гладит свои руки.>>||||
vil11|Ты видишь? Видишь, во что я превратился? ## ...я сам себе омерзителен.||||
vil12|В воздухе что-то витает. Что-то скрывающее правду. ##Но... Джиттерсид и Парадоксиус. Смешай их — и глаза твои по-настоящему откроются.||||
vil13|Кошмар прекратился. Неужели... неужели всё наконец кончилось?||||
wik1|<<Усталые глаза смотрят из изможденного лица. Мужчина одет в старую и потрепанную одежду викканского жреца.>>||||
wik2|Ч-что это, незваный гость? Как ты пробрался в крепость?||||
p43|Останавливать-то было особо некому.||||
wik3|Но... королевская стража? Ба, дезертиры, все до единого дезертиры. Что ж... видно, гибель этого места свершилась.||||
p44|Я пришел, чтобы положить конец этому безумию.||||
wik4|Так, значит, фасад наконец рухнул? Я знал, что этот день придёт. Гибель этого места свершилась.||||
wik5|Я пытался окутать это место [[иллюзорной магией]], чтобы скрыть упадок, но... простой чаре многое не под силу.##Замок гниёт, кости его обнажены.||||
p45|Как поживает замок?||||
wik6|Так, значит, сын герцога вызвался принять жертвенное бремя? Это глубоко печалит меня; он добрая душа и не заслуживает таких мучений.||||
wik7|Но, быть может... так оно и к лучшему. Даже сейчас жители понемногу возвращаются к привычной жизни.||||
wik8|Герцог мёртв? Тогда контракт с Пигутом расторгнут. Безумие кончилось, но боюсь, чума возьмёт ещё более тяжкую плату.||||
p46|Что не так с этим замком?||||
wik9|<<Мужчина тяжело, надсадно вздыхает.>> ##Жуткая сделка. Она должна была спасти этих людей, а не... <<он сглатывает.>> Не обречь их.||||
wik10|Несколько лет назад на замок обрушилась страшная чума. Заразился даже сын герцога. Союз Вероотступников помогать не стал, и люди обратились к местному богу. Но Пигут потребовал дани...||||
wik11|...вот мой ковен и послал меня заключить контракт. Заклятие Пигута держалось бы на жертве. ##Жертве не жизни, а ((боли)).||||
wik12|Герцог согласился. И поныне яд держит его в нескончаемой агонии, чтобы чума не вырвалась наружу. Но силы его иссякают, заклятие бога ищет всё новые пути взять свою плату, и остров проклят всё сильнее.||||
wik13|Долгие месяцы я ломал голову, как быть. Совесть моя тяжела от этого груза. Но чтобы хоть что-то переменилось, должно случиться нечто ужасное.||||
p47|Должен быть способ снять это проклятие.||||
wik14|Хм. Избавление? Мысль... утешительная, признаю.||||
wik15|За той картиной — потайная комната. В ней хранится [[жертвенный яд]], тот самый, что течёт в жилах герцога.||||
wik16|Доза выверена точно. Превышение её смертельно. Если герцог выпьет больше, он умрёт, и контракт расторгнется полностью.  ##Безумие кончится, но чума вернётся.||||
wik17|Но есть и иной путь. Если найдётся вторая жертва, бог будет утолён. Равновесие можно восстановить, хотя пятно Пигута уже никогда не сойдёт до конца.||||
wik18|Но я устал от всего этого. Не лежит у меня сердце причинять ещё больше боли.||||
p48|@@Я мог бы ввести яд от твоего имени.||||
p49|Я нашел яд. Я мог бы ввести его от твоего имени. ||||
wik19|%%<<Какое-то время он молчит.>> ##Быть может... быть может, это и есть самый мудрый выбор?||||
wik20|Моя нерешительность дала этому замку сгнить. Быть может, спасти его выпадет тебе. Что ж, я отворю дверь к яду. ##Герцог на вершине крепости. Чтобы войти, нужно пройти сквозь иллюзорную стену.||||
wik21|&&Благородное предложение, но это бремя — лишь моё. Совесть не позволит мне переложить его на тебя.||||
p50|Ты виккан, да? Почему ты здесь?||||
wik22|Хм, что ж, скрывать это, пожалуй, без толку. Это было бы оскорблением нам обоим.||||
wik23|Я посланник Викканского Ковена Червя, призванный надзирать за божественными контрактами. Даже простая молитва малому божеству бывает опасна, и викканский жрец способен выступить... посредником, если угодно.||||
wik24|Само собой, нынче это занятие опасное. После Войны Богов наши ковены рассеяны и таятся. Любого из нас ждёт страшная смерть, попадись мы Союзу.||||
