sc||||No subcat = can't equip||||||||||Rarity Multiplier - see other tab sheet for calculations
0: Item ID|1: ItemCategory|2: subCategory (none = can't equip)|3: SpriteIDs (Comma Seperated)|4: Stat/Mana Values (Comma Seperated)|5: isStackable|6: buyValues (0 = not sellable)|7: Cast Time|8: can't sell (not working?)|9: alchemyIngredient|10: hasRarity|11: ShopCategory|12: Skill Modifier|13: Mod Amt|14: Rarity Multiplier
unknown|Key |None|IconLuck||||||||None||10|2
noItems|Key|None|EmblemCross||||||||None||10|2
lockpick|Useable|None|lockpick||Yes|2|||||None||10|2
ammo|Useable|None|ammo||Yes|1|||||Combat||10|2
ore|Useable|None|orePoor,oreCommon,oreFine,oreShroomweave,oreClockwork,oreVoid||Yes|10,20,30,80,80,80||||Yes|Crafting||10|2
thread|Useable|None|threadPoor,threadCommon||Yes|5,10|||Yes|Yes|Crafting||10|2
aqua|Useable|None|aquaPoor,aquaCommon,aquaFine||Yes|3,6,10|||Yes|Yes|Alchemy||10|2
herbRed|Useable|None|herbRed||Yes|2,4|||Yes||Alchemy||10|2
herbBlue|Useable|None|herbBlue||Yes|2,4|||Yes||Alchemy||10|2
herbYellow|Useable|None|herbYellow||Yes|2,4|||Yes||Alchemy||10|2
herbShroom|Useable|None|deathsVeil||Yes|5|||Yes||Alchemy||10|2
treasure|Useable|None|treasurePoor,treasureCommon,treasureFine||Yes|30,50,90|||Yes|Yes|Loot||10|2
beer|Useable|Useable|beer||Yes|5,10,20,20,20,20|||||Drink||10|2
scryshroomTea|Useable|Useable|scryshroomTea||Yes|5,10,20,20,20,20|||||Drink||10|2
cwkTea|Useable|Useable|cwkTea||Yes|5,10,20,20,20,20|||||Drink||10|2
wine|Useable|Useable|altWinePoor,winePoor,altWineFine,wineShroom,wineMagic,wineGhost||Yes|5,10,20,20,20,20||||Yes|Drink||10|2
potionHealth|Useable|Useable|potionHealth||Yes|2|||||Potions||10|2
potionMana|Useable|Useable|potionMana||Yes|2|||||Potions||10|2
potionStamina|Useable|Useable|potionStamina||Yes|2|||||Potions||10|2
potionTruth|Useable|Useable|potionTruth||Yes|5|||||Potions||10|2
potionPoison|Useable|Useable|potionPoison||Yes|2|||||Potions||10|2
potionLuck|Useable|Useable|elixirTurq||Yes|5|||||Potions||10|2
potionElixir|Useable|Useable|altElixirRed||Yes|5|||||Potions||10|2
potionCast|Useable|Useable|altElixirPurple||Yes|3|||||Potions||10|2
potionRegen|Useable|Useable|elixirOrange||Yes|3|||||Potions||10|2
potionDef|Useable|Useable|altPotionTurq||Yes|3|||||Potions||10|2
compass|Useable|Useable|compass|||10||Yes|||None||10|2
scope|Useable|Useable|scope|||10||Yes||Yes|None||10|2
sword|Equipment|Weapon|swordRusty,swordSteel,swordFine,swordShroom,swordClock,swordVoid,swordEmberian|5,10,15,20,20,25,18||30,60,90,110,130,170,80||||Yes|Combat||10|2
dagger|Equipment|Weapon|daggerRusty,daggerSteel,daggerFine,daggerShroom,daggerClock,daggerVoid,daggerEmberian|3,6,10,15,15,18,13||20,40,60,80,90,100,60||||Yes|Combat||10|2
greatsword|Equipment|Weapon|gSwordRusty,gSwordSteel,gSwordFine,gSwordShroom,gSwordClock,gSwordVoid,gSwordEmberian|7,14,18,30,30,40,24||40,80,100,160,180,200,120||||Yes|Combat||10|2
bow|Equipment|Weapon|bowRusty,bowSteel,bowFine,bowShroom,bowClock,bowVoid,bowEmberian|10,20,30,40,40,45,35||15,30,40,75,80,85,50||||Yes|Combat||10|2
plateArmour|Equipment|Body|bodyChain,bodyPlate|3,6,9,12,25,30||20,30,40||||Yes|Combat||10|2
plateHelm|Equipment|Head|headChain,headPlate|2,4,6,8,10,12||15,24,30||||Yes|Combat||10|2
clothesMight|Equipment|Body|clothesMight1,clothesMight2,clothesMight3|20,30,40||20,30,40||||Yes|Combat|Damage|10|2
hatMight|Equipment|Head|hatMight1,hatMight2,hatMight3|10,20,30||15,24,30||||Yes|Combat|Damage|10|2
clothesDef|Equipment|Body|clothesDef1,clothesDef2,clothesDef3|30,40,60||20,30,40||||Yes|Combat|Defence|10|2
hatDef|Equipment|Head|hatDef1,hatDef2,hatDef3|20,30,40||15,24,30||||Yes|Combat|Defence|10|2
clothesPersona|Equipment|Body|clothesPersona1,clothesPersona2,clothesPersona3|10,15,20||20,30,40||||Yes|Clothing|Regen|10|2
hatPersona|Equipment|Head|hatPersona1,hatPersona2,hatPersona3|5,8,10||15,24,30||||Yes|Clothing|Charm|10|2
clothesWisdom|Equipment|Body|clothesWisdom1,clothesWisdom2,clothesWisdom3|10,15,20||20,30,40||||Yes|Clothing|Casting|10|2
hatWisdom|Equipment|Head|hatWisdom1,hatWisdom2,hatWisdom3|5,8,10||15,24,30||||Yes|Clothing|Lore|10|2
clothesGuile|Equipment|Body|clothesGuile1,clothesGuile2,clothesGuile3|15,24,30||20,30,40||||Yes|Clothing|Agility|10|2
hatGuile|Equipment|Head|hatGuile1,hatGuile2,hatGuile3|10,15,20||15,24,30||||Yes|Clothing|Lockpick|10|2
clothesEmberian|Equipment|Body|clothesEmberianRusty,clothesEmberianRusty,clothesEmberianRusty,scope,scope,scope,clothesEmberian|40,40,40,40,40,40,50||80,80,80,80,80,80,120||||Yes|Combat|Stats|10|2
hatEmberian|Equipment|Head|hatEmberianRusty,hatEmberianRusty,hatEmberianRusty,scope,scope,scope,hatEmberian|30,30,30,30,30,30,40||80,80,80,80,80,80,120||||Yes|Combat|Skills|5|2
goblinMask|Equipment|Head|goblinMask|2||10||Yes|||Clothing||10|2
cultistHood|Equipment|Head|cultistHood|2||10||Yes|||Clothing||10|2
crusadeHelm|Equipment|Head|altHelmet|2||10||Yes|||Clothing||10|2
rogueHood|Equipment|Head|headRogue,headThief|1,2,4,5,6,8||10,20,30,50,55,60||||Yes|Clothing||10|2
spellSpeed|Spell|Spell|spellSpeed|45||40|1|Yes|||Spells||10|2
spellHeal|Spell|Spell|spellHeal|40||40|1|Yes|||Spells||10|2
spellTime|Spell|Spell|spellTime|30||40|1|Yes|||Spells||10|2
spellSlow|Spell|Spell|spellSlow|30||50|2|Yes|||Spells||10|2
spellTeleport|Spell|Spell|spellTeleport|10||40|1|Yes|||Spells||10|2
spellDispel|Spell|Spell|spellDispel|30||20|1|Yes|||Spells||10|2
spellFade|Spell|Spell|spellFade|45||40|1|Yes|||Spells||10|2
spellSummon|Spell|Spell|spellSummon|40||40|1|Yes|||Spells||10|2
spellSummonRanged|Spell|Spell|spellSummonRanged|60||60|1|Yes|||Spells||10|2
spellSummonCaster|Spell|Spell|spellSummonCaster|60||60|1|Yes|||Spells||10|2
spellSummonShield|Spell|Spell|spellSummonShield|60||60|1|Yes|||Spells||10|2
spellBurn|Spell|Spell|spellBurn|35||70|1|Yes|||Spells||10|2
spellMissile|Spell|Spell|spellMissile|12||30|2|Yes|||Spells||10|2
spellFlechette|Spell|Spell|spellFlechette|5||40|6|Yes|||Spells||10|2
spellPoisonFlech|Spell|Spell|spellPoisonFlech|10||50|3|Yes|||Spells||10|2
spellHome|Spell|Spell|spellHome|0||30|1|Yes|||Spells||10|2
spellShield|Spell|Spell|spellDispel|5||30|3|Yes|||Spells||10|2
speedShoes|Accessory|Accessory|speedShoes|||30|||||Accessory||10|2
superPick|Accessory|Accessory|superPick|||30|||||Accessory||10|2
lockbug|Accessory|Accessory|lockbug|||30|||||Accessory||10|2
portalLocket|Accessory|Accessory|portalLocket|||30|||||Accessory||10|2
parryBuckler|Accessory|Accessory|parryBuckler|||40|||||Accessory||10|2
gemGlove|Accessory|Accessory|gemGlove|||30|||||Accessory||10|2
specs|Accessory|Accessory|specs|||30|||||Accessory||10|2
familiar|Accessory|Accessory|cagedFamiliar|||30|||||Accessory||10|2
vampiricAmulet|Accessory|Accessory|vampiricAmulet|||30|||||Accessory||10|2
guildMask|Accessory|Accessory|gemMask|||30|||||Accessory||10|2
perfume|Accessory|Accessory|perfume|||30|||||Accessory||10|2
summonAccessory|Accessory|Accessory|summonAccessory|||30|||||Accessory||10|2
charmDeadGod|Accessory|Accessory|charmDeadGod|||100|||||Accessory|Stats|40|2
punishmentGlove|Accessory|Accessory|punishmentGlove|||60|||||Accessory|Damage|25|2
summonRing|Accessory|Ring|summonRing|||30|||||Ring||10|2
ringAmber|Accessory|Ring|ringAmber|||20|||||Ring||10|2
ringGreen|Accessory|Ring|ringGreen|||20|||||Ring||10|2
ringBlue|Accessory|Ring|ringBlue|||20|||||Ring||10|2
ringHealth|Accessory|Ring|ringAmber|||20|||||Ring|Health|20|2
ringHealthPlus|Accessory|Ring|ringAmber|||40|||||Ring|Health|80|2
ringMana|Accessory|Ring|ringBlue|||20|||||Ring|Mana|20|2
ringManaPlus|Accessory|Ring|ringBlue|||40|||||Ring|Mana|80|2
ringStamina|Accessory|Ring|ringGreen|||20|||||Ring|Stamina|20|2
ringStaminaPlus|Accessory|Ring|ringGreen|||40|||||Ring|Stamina|45|2
ringRobust|Accessory|Ring|ringGreen|||30|||||Ring|Stats|10|2
ringRejuvinate|Accessory|Ring|ringSignetGold|||60|||||Ring||10|2
ringRejuvinateWeak|Accessory|Ring|ringSignetGold|||20|||||Ring||10|2
ringStimulus|Accessory|Ring|ringSignetSilver|||20|||||Ring||10|2
ringSpellcraft|Accessory|Ring|ringSpellcraft|||20|||||Ring||10|2
ringStoneskin|Accessory|Ring|ringOldIron|||20|||||Ring|Defence|20|2
ringStoneskinPlus|Accessory|Ring|ringStoneskinPlus|||20|||||Ring|Defence|30|2
ringFeather|Accessory|Ring|ringFeather|||20|||||Ring||10|2
ringBargain|Accessory|Ring|ringBlue|||20|||||Ring|Barter|20|2
ringBargainPlus|Accessory|Ring|ringBargainPlus|||20|||||Ring|Barter|50|2
ringPotion|Accessory|Ring|ringPotency|||30|||||Ring||10|2
ringPoisonResist|Accessory|Ring|ringPoisonResist||||||||Ring|||
ringSturdy|Accessory|Ring|ringOldBronze|||25|||||Ring||10|2
paeguthKey|Key|None|paeguthKey|||||Yes|||None||10|2
paeguthArtifact|Key|None|paeguthArtifact|||||Yes|||None||10|2
paeguthAspect|Key|None|paeguthAspect|||||Yes|||None||10|2
paeguthDgnKey|Key|None|keyRusty|||||Yes|||None||10|2
innogenCrate|Key|None|altBoxCursed|||||Yes|||None||10|2
merchantLoot|Key|None|paeguthTablet|||||Yes|||None||10|2
passport|Key|None|unionDocument||Yes|60||Yes|||None||10|2
journal|Key|None|journal|||||Yes|||None||10|2
dreamJournal|Key|None|book|||||Yes|||None||10|2
dreamersJournal|Key|None|book|||||Yes|||None||10|2
castlePoison|Key|None|redPoison|||||Yes|||None||10|2
queenNecklace|Key|None|necklaceTopaz|||||Yes|||None||10|2
thawMemoryPotion|Key|None|vialBlue|||||Yes|||None||10|2
loyalBlood|Key|None|vialBlood|||||Yes|||None||10|2
ribsCryptKey|Key|None|keySkull|||||Yes|||None||10|2
penitentKey|Key|None|keyIron|||||Yes|||None||10|2
phageEggs|Key|None|eggsGreen|||||Yes|||None||10|2
urnAnguish|Key|None|urnAnguish||Yes|||Yes|||None||10|2
gasMask|Equipment|Head|gasMask|2||10||Yes|||None||10|2
tramKey|Key|None|keyEmberian2|||||Yes|||None||10|2
underlandsKey|Key|None|keyEmberian2|||||Yes|||None||10|2
curseWard|Accessory|Ring|ringBlue|||20||Yes|||None||10|2
portalKey|Key|None|keyPortal|||||Yes|||None||10|2
academyProof|Key|None|book|||||Yes|||None||10|2
