J| if parent matches ID, it's a task, not a stage.  (6) REQ'D STAGES: break up with commas Requires the player to have one of these as their active stage. Rarity: 0-poor,1-common,2-fine,3-shroom,4-cwk,5-void. if removeRarity is left blank it does not require rarity. (13) Needs item will only check the first req'd item. (14) removeItem(s) will create a list. They will ALL use the same itemRarity, if applicable. NEW:l IF REMOVING KEY ITEM WHICH IS STACKABLE, TASK WILL NOW REMOVE WHOLE STACK. IF WE EVER NEED TO REMOVE 1 SINGLE STACKABLE KEY ITEM WE NEED TO ADD A NEW FIELD OF ITEM AMOUNT.|||||||||||||||||||||||
0: ID|1: родитель|2: spriteID|3:startsTask|4:completes|5:ignoreHchy|6:req'dStages|7:trueFacts|8: falseFacts|9:keyItemNeeded|10: itemID|11: itemRarity|12: монета|13: глиммер|14:needsItem|15:removeItem(s)|16:remveRarity|17:FactionEnums|18:FactionInts|19:sortNum|20: English|21: French|22: German|23: Spanish|24: Italian
mainQuest|mainQuest|FactionInq|||||||||||||||||0|Охота на Велу Каллос||||
10|mainQuest||Yes|||||||||||||||||Вы были заперты в камере уже некоторое время.||||
15|mainQuest||Yes||||TutorialStarted|||journal||||||||||После месяцев заключения в тюрьме Инквизиции вас выпустили с одним условием: вы должны арестовать Велу Каллос, самую опасную личность в Небесных Землях. Она находится в крепости неподалеку. ##Вы можете обратиться за помощью к Инквизитору Игнавиусу по пути. Но сначала вам нужно получить и экипировать оружие...||||
20|mainQuest||Yes||||TutorialStarted|||||||||||||После месяцев заключения в тюрьме Инквизиции вас выпустили с одним условием: вы должны арестовать Велу Каллос, самую опасную личность в Небесных Землях. Она находится в крепости неподалеку. ##Вы можете обратиться за помощью к Инквизитору Игнавиусу по пути.||||
22|mainQuest||Yes|||||||||||||||||После месяцев заключения в тюрьме Инквизиции вас выпустили с одним условием: вы должны арестовать Велу Каллос, самую опасную личность в Небесных Землях. Она находится в крепости неподалеку. ##Инквизитор Игнавиус сообщил вам о запасном пути в крепость, доступном через лестницу сбоку, что может потребовать меньше кровопролития.||||
30|mainQuest||Yes|||||||||||||||||Вы столкнулись с Велой Каллос - опасным лидером наемников - но не смогли арестовать ее, как того требовала ваша сделка с Инквизицией. ##Вам следует вернуться к Верховному Исповеднику и искать покаяния.||||
40|mainQuest||Yes||||LookingForMentor,SpokenToHighC_AfterVela,LookingForDarkStars|||||10|1|||||||Ваш поиск Велы Каллос продолжается. ##Верховный Исповедник поручил вам встретиться с бывшим квартирмейстером Велы в таверне [[Шаткая Башка]] в Хэллоушире, за мостом Союза.##Чтобы продолжить, вам нужно будет получить [[Паспорт Союза]] где-то в Пвилле.||||
50|mainQuest||||||KnowAboutEmberian,KnowAboutDuchess,KnowAboutFrost|LookingForMentor ||||||||||||Джек Базальт - бывший квартирмейстер Велы - рассказал вам о трех бывших наемниках Темных Звезд, которые могут помочь вам в охоте на Велу. ##Найдите каждого из них и завербуйте их в свою команду.||||
60|mainQuest||||||FoundAllDarkStars,SpokenToHighC_AfterVela|LookingForDarkStars||||||||||||Вы нашли и завербовали небольшую команду бывших наемников Темных Звезд. С их помощью ваша охота на Велу может начаться всерьез. ##Вернитесь к Верховному Исповеднику в Ослепляющем Свете, чтобы спланировать следующие шаги. ||||
70|mainQuest||||||NeedToActivateBL|||||||||||||Верховный Исповедник попросил вас [[активировать]] крепость Ослепляющий Свет. Вернитесь в кабину, где вы впервые столкнулись с Велой, и [[получите доступ к управлению.]]||||
